account,account_name,accert_cost_musd,legacy_cost_musd,difference_musd,relative_difference_percent,status
10,Pre-Construction Costs,24.186117539999998,24.18611754015809,-1.580922059929435e-10,-6.536485474795643e-10,match
11,Land and Land Rights,1.18611754,1.186117540158087,-1.5808709896703022e-10,-1.3328114087745485e-08,match
12,Site Permits,10.0,10.0,0.0,0.0,match
13,Plant Licensing,0.0,0.0,0.0,0.0,match
14,Plant Permits,5.0,5.0,0.0,0.0,match
15,Plant Studies,5.0,5.0,0.0,0.0,match
16,Plant Reports,2.0,2.0,0.0,0.0,match
17,Other Pre-Construction Costs,1.0,1.0,0.0,0.0,match
19,Contingency on Pre-Construction Costs,0.0,0.0,0.0,0.0,match
20,Capitalized Direct Costs (CDC),1474.1300122589957,1474.130012258995,6.821210263296962e-13,4.6272786026817015e-14,match
21,Structures and Improvements,100.08839411800456,100.0883941180045,5.684341886080802e-14,5.6793216997556644e-14,match
21.1,Site Preparation/Yard Work,37.55241442478681,37.55241442478681,0.0,0.0,match
21.2,Heat Island Building,26.174593337873794,26.17459333787379,3.552713678800501e-15,1.3573138015710216e-14,match
21.3,Turbine Generator Building,7.5665312646958505,7.56653126469585,8.881784197001252e-16,1.1738250839512355e-14,match
21.4,Heat Exchanger Building,5.296571885287096,5.296571885287095,8.881784197001252e-16,1.676892977073193e-14,match
21.5,Power Supply and Energy Storage,1.51330625293917,1.51330625293917,0.0,0.0,match
21.6,Reactor Auxiliaries,0.756653126469585,0.756653126469585,0.0,0.0,match
21.7,Hot Cell,13.087296668936895,13.0872966689369,-5.329070518200751e-15,-4.071941404713063e-14,match
21.8,Reactor Services,2.620261752774304,2.620261752774304,0.0,0.0,match
21.9,Service Water,0.04203628480386583,0.04203628480386583,0.0,0.0,match
21.10,Fuel Storage,0.1541330442808414,0.1541330442808414,0.0,0.0,match
21.11,Control Room,0.1261088544115975,0.1261088544115975,0.0,0.0,match
21.12,Onsite AC Power,0.11209675947697556,0.1120967594769756,-4.163336342344337e-17,-3.7140559296894536e-14,match
