Account,Title,Total Cost (USD),Factory Equipment Cost,Site Labor Hours,Site Labor Cost,Site Material Cost
11,Land & Land Rights,2661073.013,0,0,0,0
12,Site Permits,0,0,0,0,0
13,Plant Licensing,190950077.8,0,0,0,0
14,Plant Permits,20588224.42,0,0,0,0
15,Plant Studies,0,0,0,0,0
16,Plant Reports,0,0,0,0,0
18,Other Pre-Construction Costs,64317423.74,0,0,0,0
20,Capitalized Direct Costs,0,0,0,0,0
21,Structures & Improvements,2338522894.0940304,392047727.3416498,14445033.680232916,1331399514.319592,615075647.6803954
211,Site Preparation/Yard Work,210709021.02952853,1535480.6624168903,1550450.288352939,130798337.00322719,78375202.27074127
212,Reactor Containment Building,1536056329.8601322,331269587.0458223,9537276.053595617,873677112.9021444,331109628.38005483
213,Turbine Room and Heater Bay,255260836.95867333,5163166.461,1363344.7944691996,132943595.2266848,117154075.8514704
214,Buildings to Support Main Function ,244612170.6229515,48172557.14116395,1371521.9061748001,133438620.53169343,63000990.48802785
215,Supply Chain Buildings,75733212.72986218,5296033.604196765,504064.25212529016,48947832.38006659,21489347.02351659
216,Human Resources Buildings,16151322.892883105,610902.4267548266,118376.3855150684,11594016.275775775,3946403.666584421
217,Miscellaneous Other Structures,0,0,0,0,0
22,Reactor System,2470049996,1801096959.304935,5424585.978751537,549868358.7407418,119084677.84501863
23,Energy Conversion System,2541267622,2409607707.273423,3115092.8589984067,588403431,34188320.73843827
232.1,Electricity Generation Systems,2073947476.8255186,1393131728.7993882,5880383.711590024,591311737.4408174,89504009.16009353
233,Ultimate Heat Sink,467320145.4329112,249787227.92737755,1884762.6197779032,187014887.0208051,30518030.584493954
24,Electrical Equipment,517794625.9525834,104883985.04263179,3119883.108,317389303.0618374,95521338.38257146
25,Initial fuel inventory,0,0,0,0,0
26,Miscellaneous Equipment,463877939.8075272,136880547.30223727,2797859.833170273,285141932.56709814,41855460.08071376
28,Simulator,0,0,0,0,0
30,Capitalized Indirect Services Costs,0,0,0,0,0
31,Factory & Field Indirect Costs,3530991924,0,0,0,0
32,Factory and construction supervision,2576942755,0,0,0,0
33,Start-Up Costs,108412136.4,0,0,0,0
34,Shipping & Transportation Costs,9128423.298,0,0,0,0
35,Engineering Services,696228163.3,0,0,0,0
50,Capitalized Supplementary Costs,0,0,0,0,0
51,Taxes,33263.41267,0,0,0,0
52,Insurance,124634766.9,0,0,0,0
54,Decommissioning ,17224140,0,0,0,0
60,Capitalized Financial Costs,0,0,0,0,0
62,Interest ,7519443674.031699,0,0,0,0
