Account,Title,Total Cost (USD),Factory Equipment Cost,Site Labor Hours,Site Labor Cost,Site Material Cost
11,Land & Land Rights,15000000,,,,
12,Site Permits,0,,,,
13,Plant Licensing,107009771.98697068,,,,
14,Plant Permits,4721019.352366353,,,,
15,Plant Studies,0,,,,
16,Plant Reports,0,,,,
18,Other Pre-Construction Costs,36194481.701475374,,,,
20,Capitalized Direct Costs,,,,,
21,Structures & Improvements,244678343.40844324,64350800.859366685,2899406.5371647766,145691461.9059903,34636080.64308626
212,Reactor Containment Building,145108927.86932492,57583605.36952757,1605670.308507702,81082169.34102152,6443153.1587758595
213,Turbine Room and Heater Bay,9518417.644642519,620963.9747542912,102399.47362967294,5280509.165081021,3616944.504807206
211 plus 214 to 219,Othe Structures & Improvements,90050997.89,6146231.515,1191336.755,59328783.4,24575982.98
22,Reactor System,661334796.7533823,559862843.6356779,1809703.5146268948,97213738.57005614,4258214.548
23,Energy Conversion System,238844021.3,189802947.4,874095.8195,46348086.09,2692987.752
232.1,Electricity Generation Systems,197558120.73250785,167738159.2684312,559708.5779584679,29819961.464076634,0
233,Ultimate Heat Sink,41285900.520399824,22064788.14284548,314387.24152993015,16528124.625988554,2692987.751565792
24,Electrical Equipment,67451644.91245897,13662940.77718743,767077.1532008175,41345408.97523445,12443295.160037093
25,Initial fuel inventory,279724434,279724434,,,
26,Miscellaneous Equipment,25655315.75412561,8372438.256640577,278805.25137804874,15110212.41,2172665.0833824323
28,Simulator,0,0,,,
30,Capitalized Indirect Services Costs,,,,,
31,Factory & Field Indirect Costs,146051996.53692532,,,,
32,Factory and construction supervision,506256124.80995834,,,,
33,Start-Up Costs,21298225.546122435,,,,
34,Shipping & Transportation Costs,1793334.4599472817,,,,
35,Engineering Services,136778270.01496467,,,,
50,Capitalized Supplementary Costs,,,,,
51,Taxes,3510602.4683867483,,,,
52,Insurance,10484751.183521552,,,,
54,Decommissioning ,14606673.443824586,,,,
60,Capitalized Financial Costs,,,,,
62,Interest ,592300799.7656411,,,,
