Month,CDF
0,0.0139638
1,0.0279276
2,0.054072485
3,0.080217371
4,0.133639319
5,0.203627123
6,0.257052414
7,0.300121505
8,0.323522402
9,0.354574934
10,0.389812145
11,0.427499507
12,0.464806606
13,0.495151681
14,0.539252457
15,0.573541602
16,0.612584914
17,0.668325288
18,0.712828292
19,0.759451041
20,0.805723217
21,0.852461978
22,0.874629352
23,0.884843919
24,0.8951548
25,0.902410751
26,0.909666702
27,0.916890557
28,0.923990819
29,0.929310828
30,0.934630837
31,0.939806437
32,0.944587939
33,0.950118026
34,0.955419761
35,0.960746571
36,0.965938242
37,0.971106121
38,0.976215384
39,0.980960386
40,0.985705388
41,0.989913198
42,0.993986339
43,0.997050336
44,1
