account,title,coa_breakdown,category_share_equipment,category_share_material,category_share_labor,category_share_land,category_share_catchall,korea_localization_equipment,korea_localization_material,korea_localization_labor,korea_localization_land,korea_localization_catchall,china_localization_equipment,china_localization_material,china_localization_labor,china_localization_land,china_localization_catchall,uae_localization_equipment,uae_localization_material,uae_localization_labor,uae_localization_land,uae_localization_catchall,poland_localization_equipment,poland_localization_material,poland_localization_labor,poland_localization_land,poland_localization_catchall,el_salvador_localization_equipment,el_salvador_localization_material,el_salvador_localization_labor,el_salvador_localization_land,el_salvador_localization_catchall
11,Land and Land Rights,0.0005605052004057804,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,
12,Site Permits,0.00360683481676399,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
13,Plant Licensing,0.03442740744079714,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,
14,Plant Permits,0.003715902456350059,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
15,Plant Studies,0.005306943817648493,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,0.5,,
16,Plant Reports,0.002584312723685826,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,0.5,,
17,Community Outreach and Education,0,,,,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,
18,Other Pre-Construction Costs,0.0115960913211444,,,1,,,,,,,1,,,,,1,,,,,1,,,,,1,,,,,0.5
19,Contingency on Pre-Construction Costs,0.007959177413630435,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,0.5
21,Structures and Improvements,0.1604311125599598,0.1002160600639462,0.6088081724623985,0.2909757674736553,,,0.98,1,1,,,0.98,1,1,,,0.85,1,1,,,0.85,1,1,,,0.25,1,1,,
22,Reactor System,0.1313794024201299,0.7666660792206735,0.1848834028380108,0.0484505179413157,,,0.93,1,0.95,,,0.85,1,0.95,,,0.1,0.9,0.75,,,0.15,0.9,0.8,,,0.25,1,0.75,,
23,Energy Conversion System,0.03898636730443255,0.7069828190168505,0.243644672095227,0.04937250888792258,,,0.94,1,0.95,,,0.88,1,0.95,,,0.15,0.9,0.9,,,0.25,0.9,0.9,,,0.25,1,0.75,,
24,Electrical Equipment,0.06284873198145237,0.4669570619519579,0.3650914435880807,0.1679514944599615,,,0.92,1,0.95,,,0.85,1,0.95,,,0.2,0.9,0.9,,,0.3,0.9,0.9,,,0.25,1,0.75,,
25,Initial Fuel Inventory,0.02237056657106326,1,,,,,0,1,0.5,,,0,1,0.5,,,0,1,0.5,,,0,1,0.5,,,0,1,0.5,,
26,Miscellaneous Equipment,0.02237056657106326,0.3846999865985419,0.506961078129109,0.1083389352723492,,,0.9,1,0.95,,,0.85,1,0.95,,,0.2,0.9,0.95,,,0.3,0.9,0.95,,,0.5,1,1,,
27,Material Requiring Special Consideration,0.06141258775835105,1,,,,,0.95,1,0.5,,,0.9,1,0.5,,,0.2,1,0.5,,,0.15,1,0.5,,,0,1,0.5,,
28,Simulator,3.696848452179112e-05,,,,,,,1,0.5,,,,1,0.5,,,,1,0.5,,,,1,0.5,,,0,1,0.5,,
29,Contingency on Direct Costs,0.150668195693817,0.6322174295502815,0.2727698241589752,0.09501274629074347,,,0.94,1,0.97,,,0.9,1,0.97,,,0.3,0.9,0.95,,,0.35,0.9,0.95,,,1,1,1,,
31,Factory & Field Indirect Costs,0.07320616950409402,0,0.5473,0.4527,,,0.9,1,0.98,,,0.88,1,0.98,,,0.25,0.95,0.95,,,0.35,0.95,0.95,,,0.25,1,0.75,,
32,Factory & Construction Supervision,0.05225395695226454,0.9149,0.0851,0,,,0.85,1,0.95,,,0.85,1,0.95,,,0.25,0.85,0.25,,,0.3,0.85,0.5,,,0.25,1,0.25,,
33,Startup Costs,0.004260629387924101,1,0,0,,,0.85,1,0.95,,,0.85,1,0.95,,,0.2,0.85,0.25,,,0.25,0.85,0.5,,,0.25,1,0.5,,
34,Shipping and Transportation Costs,0,1,0,0,,,0.8,1,0.9,,,0.75,1,0.9,,,0.1,0.7,0.75,,,0.6,0.75,0.8,,,0.75,0.75,0.75,,
35,Engineering Services,0.07425797080740923,1,0,0,,,0.85,1,0.95,,,0.85,1,0.95,,,0.05,0.6,0.25,,,0.2,0.6,0.5,,,0.25,1,0.25,,
36,PM/CM Services,0.009214507235038107,0.7332,0.2668,0,,,0.85,1,0.95,,,0.85,1,0.95,,,0.1,0.5,0.25,,,0.2,0.5,0.5,,,0.25,1,0.5,,
37,Regulatory Inspection Support,0,0,1,0,,,0.85,1,0.95,,,0.85,1,0.95,,,0.4,0.7,0.5,,,0.5,0.7,0.7,,,0.25,1,0.5,,
38,Spare Parts,0.007640175555458625,0,0,1,,,0.85,1,0.95,,,0.85,1,0.95,,,0.1,0.8,0.9,,,0.15,0.8,0.9,,,0.25,1,0.5,,
39,Contingency on Indirect Services Cost,0,0.5810125,0.2374,0.1815875,,,0.9,1,0.95,,,0.88,1,0.95,,,0.2,0.8,0.65,,,0.3,0.8,0.75,,,1,1,1,,
51,Taxes,6.222634323938644e-06,,,,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,
52,Insurance,0.01548009389860789,,,,,1,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
53,Spent Fuel Storage,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Decommissioning,0.001698167598529386,,,,,1,,,,,,1,1,1,,,0.25,1,0.75,,,0.25,1,0.75,,,0.25,1,0.75,,
55,Other Owners' Costs,0,,,,,,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
