account,title,coa_breakdown,category_share_equipment,category_share_material,category_share_labor,category_share_land,category_share_catchall,korea_localization_equipment,korea_localization_material,korea_localization_labor,korea_localization_land,korea_localization_catchall,china_localization_equipment,china_localization_material,china_localization_labor,china_localization_land,china_localization_catchall,uae_localization_equipment,uae_localization_material,uae_localization_labor,uae_localization_land,uae_localization_catchall,poland_localization_equipment,poland_localization_material,poland_localization_labor,poland_localization_land,poland_localization_catchall,el_salvador_localization_equipment,el_salvador_localization_material,el_salvador_localization_labor,el_salvador_localization_land,el_salvador_localization_catchall
11,Land and Land Rights,0.002007132795103128,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,
12,Site Permits,0.001171159476159139,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
13,Plant Licensing,0.02406815889606399,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,
14,Plant Permits,0.002814342331054546,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
15,Plant Studies,0.003944732949294854,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,0.5,,
16,Plant Reports,0.002020595156859214,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,0.5,,
17,Community Outreach and Education,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,
18,Other Pre-Construction Costs,0.007985615814338494,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,0.5,,
19,Contingency on Pre-Construction Costs,0.006061580440932444,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,0.5
21,Structures and Improvements,0.1967691209633488,0.1808303822041586,0.1981454232565862,0.6210241945392553,,,0.98,1,1,,,0.98,1,1,,,0.85,1,1,,,0.85,1,1,,,0.25,1,1,,
22,Reactor System,0.142427995752856,0.8485460311329774,0.008817125588370722,0.1426368432786518,,,0.93,1,0.95,,,0.85,1,0.95,,,0.1,0.05,0.75,,,0.1,0.05,0.75,,,0.05,0.05,0.6,,
23,Energy Conversion System,0.03794661647950994,0.8056021844908978,0.0096541606548848,0.1847436548542174,,,0.94,1,0.95,,,0.88,1,0.95,,,0.15,0.9,0.9,,,0.2,0.9,0.9,,,0.1,0.8,0.75,,
24,Electrical Equipment,0.09309712028833697,0.2025590450006025,0.184477267769917,0.6129636872294806,,,0.92,1,0.95,,,0.85,1,0.95,,,0.2,0.9,0.9,,,0.3,0.9,0.9,,,0.1,0.8,0.75,,
25,Initial Fuel Inventory,0.02953056917513506,1,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
26,Miscellaneous Equipment,0.02953056917513506,0.3157015834542056,0.08677075199129075,0.5975276645545036,,,0.9,1,0.95,,,0.85,1,0.95,,,0.2,0.9,0.95,,,0.3,0.9,0.95,,,0.15,0.8,0.9,,
27,Material Requiring Special Consideration,0,1,,,,,0.95,,,,,0.9,,,,,0.2,,,,,0.15,,,,,0,,,,
28,Simulator,2.781963173363993e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Contingency on Direct Costs,0.106617848998883,0.621891318040406,0.06969496132300708,0.308413720636587,,,0.94,1,0.97,,,0.9,1,0.97,,,0.3,0.9,0.95,,,0.35,0.9,0.95,,,0.15,0.8,0.8,,
31,Factory & Field Indirect Costs,0.07788023729561216,0,0.5473,0.4527,,,0.9,1,0.98,,,0.88,1,0.98,,,0.25,0.95,0.95,,,0.35,0.95,0.95,,,0.25,0.95,0.75,,
32,Factory & Construction Supervision,0.02976024657184651,0.9149,0.0851,0,,,0.85,1,0.95,,,0.85,1,0.95,,,0.25,0.85,0.25,,,0.3,0.85,0.5,,,0.25,0.85,0.25,,
33,Startup Costs,0.007640808290306615,1,0,0,,,0.85,1,0.95,,,0.85,1,0.95,,,0.2,0.85,0.25,,,0.25,0.85,0.5,,,0.15,0.85,0.4,,
34,Shipping and Transportation Costs,0.007332920483694064,1,0,0,,,0.8,1,0.9,,,0.75,1,0.9,,,0.1,0.7,0.75,,,0.6,0.75,0.8,,,0.75,0.75,0.75,,
