Account No.,Item,Materials (dollars),Labor (dollars),Total (dollars)
20,Land (see account 94), $-   , $-   ," $4,633,430 "
21,Siructures and site facilities," $113,432,630 "," $97,160,660 "," $210,593,290 "
211,Site improvements," $3,926,640 "," $4,437,100 "," $8,363,730 "
212,Reactor building, $-   , $-   , $-   
212.1,Basic structured," $26,371,280 "," $26,371,280 "," $52,742,560 "
,Special materials (see Table D.3), $-   , $-   , $-   
,Stainless steel liner at 1.20/Ib," $2,622,990 "," $1,123,020 "," $3,746,010 "
,Carbon steel at 0.60/lb," $14,528,550 "," $9,738,050 "," $24,266,600 "
,Insulation at 510/ft3," $2,520,900 "," $1,075,900 "," $3,596,800 "
212.2,Building services," $2,552,310 "," $1,374,320 "," $3,926,640 "
212.3,Containment structures at 2/," $14,921,210 "," $14,921,210 "," $29,842,430 "
,Subtotal for account 212," $63,517,250 "," $54,603,790 "," $118,121,030 "
213,Turbine building," $17,277,190 "," $14,135,890 "," $31,413,080 "
214,Intake and discharge structures," $4,240,770 "," $2,827,180 "," $7,067,940 "
218,other structures," $21,957,740 "," $17,387,140 "," $39,344,880 "
218A,Feedwater heater bayj," $13,507,620 "," $11,073,110 "," $24,580,740 "
218B,Loading and setdown -bayf," $4,633,430 "," $3,769,570 "," $8,403,000 "
218C,"Offices, control rooms, etc."," $3,533,970 "," $2,355,980 "," $5,889,950 "
218D,Warehouses and miscellaneous," $282,720 "," $188,480 "," $471,200 "
219,Heat rejection stack," $2,513,050 "," $3,769,570 "," $6,282,620 "
22,Reactor plant equipment," $439,005,650 "," $46,915,430 "," $485,921,080 "
221,Reactor equipmenth," $135,861,570 "," $5,497,290 "," $141,358,860 "
221.1,Reactor vessel," $71,464,760 "," $3,141,310 "," $74,606,070 "
221.2,Control rods," $7,853,270 "," $785,330 "," $8,638,600 "
221.3,Graphite (see Table D.5," $56,543,540 "," $1,570,650 "," $58,114,200 "
222,Main heat transfer system," $182,886,950 "," $15,541,620 "," $198,428,570 "
222.11,Fuel-salt pumps," $24,345,140 "," $1,570,650 "," $25,915,790 "
222.12,Primary system salt piping," $2,355,980 "," $1,013,070 "," $3,369,050 "
222.13,Primary heat exchangers (see Table D.6)," $55,758,220 "," $1,570,650 "," $57,328,870 "
222.31,Coolant-salt pumps," $32,983,730 "," $1,570,650 "," $34,554,390 "
222.32,Secondary system salt piping," $10,444,850 "," $4,476,360 "," $14,921,210 "
222.33,Steam generators (see Table D.7)," $45,470,430 "," $3,769,570 "," $49,240,000 "
,Reheaters (see Table D.8)," $11,528,600 "," $1,570,650 "," $13,099,250 "
224,Radioactive waste treatment and disposal," $3,691,040 "," $1,492,120 "," $5,183,160 "
224.1,Liquid waste," $353,400 "," $117,800 "," $471,200 "
224.2,Off-gas system," $2,748,640 "," $1,177,990 "," $3,926,640 "
224.3,Solid waste disposal (not fission products)," $589,000 "," $196,330 "," $785,330 "
225,Nuclear fuel storage," $29,865,990 "," $3,062,780 "," $32,928,760 "
225.4,Prima.y drain tank (see Table D.9)," $21,046,760 "," $2,355,980 "," $23,402,740 "
