Account No.,Item,Materials (thousands of dollars),Labor (thousands of dollars),Total (thousands of dollars)
20,Land (see account 94), $-   , $-   ," $4,633.43 "
21,Structures and site facilities, $-   , $-   , $-   
211,Site Improvement," $3,926.64 "," $4,437.10 "," $8,363.73 "
212,Reactor building, $-   , $-   , $-   
2121,Basic Structure," $26,371.28 "," $26,371.28 "," $52,742.56 "
2122,Building services, $-   , $-   , $-   
2123,Containment structures at 2/lb," $2,622.99 "," $1,123.02 "," $3,746.01 "
213,Turbine building," $14,528.55 "," $9,738.05 "," $24,266.60 "
214,Intake and discharge structures," $2,520.90 "," $1,075.90 "," $3,596.80 "
218,," $2,552.31 "," $1,374.32 "," $3,926.64 "
2181,Feedwater heater bay," $14,921.21 "," $14,921.21 "," $29,842.43 "
2182,Loading and setdown bay," $63,517.25 "," $54,603.79 "," $118,121.03 "
2183,"Offices, control rooms, etc."," $17,277.19 "," $14,135.89 "," $31,413.08 "
2184,Warehouses and miscellaneous," $4,240.77 "," $2,827.18 "," $7,067.94 "
219,Heat rejection stack," $13,507.62 "," $11,073.11 "," $24,580.74 "
22,Reactor plant equipment," $4,633.43 "," $3,769.57 "," $8,403.00 "
221,Reactor equipment," $3,533.97 "," $2,355.98 "," $5,889.95 "
2211,Reactor vessel, $282.72 , $188.48 , $471.20 
2212,Control rods," $21,957.74 "," $17,387.14 "," $39,344.88 "
2213,Graphite," $2,513.05 "," $3,769.57 "," $6,282.62 "
222,Main heat transfer system," $113,432.63 "," $97,160.66 "," $210,593.29 "
2224,Reheaters," $5,670.06 "," $9,714.49 "," $15,384.56 "
224,Radioactive waste treatment and disposal, $596.85 , $-   , $596.85 
2241,Liquid waste," $119,699.54 "," $106,875.15 "," $226,574.69 "
2242,Off-gas system, $-   , $-   , $-   
2243,Solid waste disposal (not fission products), $-   , $-   , $-   
225,Nuclear fuel storage," $71,464.76 "," $3,141.31 "," $74,606.07 "
2254,Prima.y drain tank ," $7,853.27 ", $785.33 ," $8,638.60 "
226,Other reactor equipment," $56,543.54 "," $1,570.65 "," $58,114.20 "
2261,Inert gas systems," $135,861.57 "," $5,497.29 "," $141,358.86 "
2262,Auxiliary boiler, $-   , $-   , $-   
2263,Coolant-salt drain tanks (see Table D.i!)," $24,345.14 "," $1,570.65 "," $25,915.79 "
2264,Coolant-salt handling," $2,355.98 "," $1,013.07 "," $3,369.05 "
2265,Coolant-salt purification system," $55,758.22 "," $1,570.65 "," $57,328.87 "
2266,Leakdetection -system," $32,983.73 "," $1,570.65 "," $34,554.39 "
2267,Cell cooling system," $10,444.85 "," $4,476.36 "," $14,921.21 "
2268,Maintenance equipment (see Table D.12)," $45,470.43 "," $3,769.57 "," $49,240.00 "
227,Instruments and controls," $11,528.60 "," $1,570.65 "," $13,099.25 "
