ind,var_name,var_description,var_value,var_unit,var_alg,var_need,v_linked,user_input
1,c_213_fac,"Turbine building structure factory cost",1.7706643,million,NULL,NULL,NULL,0
2,c_213_lab,"Turbine building structure labor cost",31.835162,million,NULL,NULL,NULL,0
3,c_213_mat,"Turbine building structure material cost",32.364585,million,NULL,NULL,NULL,0
4,c_220A.2121_ss_weight,"weight of the stainless steel lower internals",145.82,ton,NULL,NULL,NULL,0
5,c_220A.2122_ss_weight,"weight of the stainless steel upper internals",145.82,ton,NULL,NULL,NULL,0
6,c_220A.222_ss_weight,"weight of the stainless steel reactor coolant piping",24.08,ton,NULL,NULL,NULL,0
7,c_222_fac,"Main heat transfer transport system factory cost",8.265356805,million,NULL,NULL,NULL,0
8,c_222_lab,"Main heat transfer transport system labor cost",18.14392675,million,NULL,NULL,NULL,0
9,c_222_mat,"Main heat transfer transport system material cost",1.795340116,million,NULL,NULL,NULL,0
10,c_222.11_fac,"Fluid Circulation Drive System (Field Cost 222) factory cost",3.780837782,million,NULL,NULL,NULL,0
11,c_222.11_lab,"Fluid Circulation Drive System (Field Cost 222) labor cost",4.374124686,million,NULL,NULL,NULL,0
12,c_222.11_mat,"Fluid Circulation Drive System (Field Cost 222) material cost",0.437412469,million,NULL,NULL,NULL,0
13,c_222.12_fac,"Reactor Coolant Piping System (Field Cost 222) factory cost",4.394349539,million,NULL,NULL,NULL,0
14,c_222.12_lab,"Reactor Coolant Piping System (Field Cost 222) labor cost",11.38158584,million,NULL,NULL,NULL,0
15,c_222.12_mat,"Reactor Coolant Piping System (Field Cost 222) material cost",1.119106974,million,NULL,NULL,NULL,0
16,c_222.13_fac,"Steam Generator Equipment (Field Cost 222) factory cost",0.7514124,million,NULL,NULL,NULL,0
17,c_222.14_fac,"Pressurizing System (Field Cost 222) factory cost",0.015028247,million,NULL,NULL,NULL,0
18,c_222.14_lab,"Pressurizing System (Field Cost 222) labor cost",0.281934576,million,NULL,NULL,NULL,0
19,c_222.14_mat,"Pressurizing System (Field Cost 222) material cost",0.028192508,million,NULL,NULL,NULL,0
20,c_231_fac,"Turbine factory cost",53.54460481,million,NULL,NULL,NULL,0
21,c_231_lab,"Turbine labor cost",0.588990653,million,NULL,NULL,NULL,0
22,c_231_mat,"Turbine material cost",3.26622089,million,NULL,NULL,NULL,0
23,c_233_fac,"Condensing Systems factory cost",56.339442,million,NULL,NULL,NULL,0
24,c_233_lab,"Condensing Systems labor cost",22.964285,million,NULL,NULL,NULL,0
25,c_233_mat,"Condensing Systems material cost",3.2777465,million,NULL,NULL,NULL,0
26,c_241_fac,"Switchgear factory cost",32.06748045,million,NULL,NULL,NULL,0
27,c_241_lab,"Switchgear labor cost",1.720620353,million,NULL,NULL,NULL,0
28,c_241_mat,"Switchgear material cost",0.251722551,million,NULL,NULL,NULL,0
29,c_242_fac,"Station service equipment factory cost",52.15781338,million,NULL,NULL,NULL,0
30,c_242_lab,"Station service equipment labor cost",4.446166005,million,NULL,NULL,NULL,0
31,c_242_mat,"Station service equipment material cost",0.849719287,million,NULL,NULL,NULL,0
32,c_245_fac,"Electric structure and wiring contnr.  factory cost",0,million,NULL,NULL,NULL,0
33,c_245_lab,"Electric structure and wiring contnr. labor cost",51.23668914,million,NULL,NULL,NULL,0
34,c_245_mat,"Electric structure and wiring contnr. material cost",12.30988227,million,NULL,NULL,NULL,0
35,c_246_fac,"Power and control wiring factory cost",4.510910469,million,NULL,NULL,NULL,0
36,c_246_lab,"Power and control wiring labor cost",33.4345167,million,NULL,NULL,NULL,0
37,c_246_mat,"Power and control wiring material cost",20.75545101,million,NULL,NULL,NULL,0
38,c_262_fac,"Heat Rejection System factory cost",86.81393498,million,NULL,NULL,NULL,0
39,c_262_lab,"Heat Rejection System labor cost",35.89660737,million,NULL,NULL,NULL,0
40,c_262_mat,"Heat Rejection System material cost",4.510480683,million,NULL,NULL,NULL,0
41,c_cr_per_unit_fac,"unit cost of rod",0.06,million,NULL,NULL,NULL,0
42,c_crd_per_unit_fac,"unit cost of rod drive",0.61152,million,NULL,NULL,NULL,0
43,c_pump_ap1000,"AP1000 factory cost of main coolant pumps",31.25,million,NULL,NULL,c_pump_per_unit_fac,0
44,c_pump_per_unit_fac,"Reactor coolant pumps Factory Equipment Cost",13.92421832,million,pump,"c_pump_ap1000,CH_abr1000,CH_AP1000,scale_0.52",NULL,0
45,c_turbine,"Turbine equipment cost",52.64956225,million,NULL,NULL,NULL,0
46,c_zero,"place holder for weight",0,ton,NULL,NULL,NULL,0
47,CH_abr1000,"CH factor of PWR-12 BE",6072830,gpm*feet,NULL,NULL,c_pump_per_unit_fac,0
48,CH_AP1000,"CH factor of AP1000",28743750,gpm*feet,NULL,NULL,c_pump_per_unit_fac,0
49,escalate_1987,"escalator 1987 to 2017",2.849407,1,NULL,NULL,NULL,0
50,mwe,"user_input MWE",NULL,MW,NULL,NULL,NULL,0
51,mwreth,"rejected thermal power",620,MW,NULL,NULL,NULL,0
52,mwth,"user_input mwth",NULL,MW,NULL,NULL,NULL,0
53,no_of_cr,"Total control rods",22,1,NULL,NULL,NULL,0
54,no_of_crd,"Total control rod drives",22,1,NULL,NULL,NULL,0
55,no_of_rcpump,"total number of reactor coolant pumps",4,1,NULL,NULL,NULL,0
56,prn_235_of_231_fac,"factory portion of cost from factory of 231",0.089454842,1,NULL,NULL,NULL,0
57,prn_235_of_231_lab,"labor portion of cost from labor of 231",1.302615598,1,NULL,NULL,NULL,0
58,prn_235_of_231_mat,"material portion of cost from labor of 231",0.858473379,1,NULL,NULL,NULL,0
59,prn_fac_231_lab,"labor portion of cost from factory of 231",0.061,1,NULL,NULL,NULL,0
60,prn_fac_231_mat,"material portion of cost from factory of 231",0.0112,1,NULL,NULL,NULL,0
61,r_222.13_lab,"labor cost of Steam Generator Equipment (Field Cost 222)",2.10628,million,NULL,NULL,NULL,0
62,r_222.13_mat,"material cost of Steam Generator Equipment (Field Cost 222)",0.210628,million,NULL,NULL,NULL,0
63,r_78_220A224_fac,"factory cost of  pressurizer in ref",5.2416,million,NULL,NULL,NULL,0
64,r_78_226.4_fac,"Coolant Treatment & Recycle factory cost",117.7,million,NULL,NULL,NULL,0
65,ref_211_fac,"yardwork factory cost",0.284275,million,NULL,NULL,NULL,0
66,ref_211_lab,"yardwork labor cost",14.504359,million,NULL,NULL,NULL,0
67,ref_211_mat,"yardwork material cost",10.203885,million,NULL,NULL,NULL,0
68,ref_224_fac,"Radwaste processing factory cost",16.16052583,million,NULL,NULL,NULL,0
69,ref_224_lab,"Radwaste processing labor cost",4.012887083,million,NULL,NULL,NULL,0
70,ref_224_mat,"Radwaste processing material cost",0.768994167,million,NULL,NULL,NULL,0
71,ref_227_fac,"Reactor instrumentation and control factory cost",13.174092,million,NULL,NULL,NULL,0
72,ref_227_lab,"Reactor instrumentation and control labor cost",7.707179,million,NULL,NULL,NULL,0
73,ref_227_mat,"Reactor instrumentation and control material cost",0.673999,million,NULL,NULL,NULL,0
74,ref_252_fac,"Air, water and steam service systems factory cost ",8.72798,million,NULL,NULL,NULL,0
75,ref_252_lab,"Air, water and steam service systems labor cost ",15.572281,million,NULL,NULL,NULL,0
76,ref_252_mat,"Air, water and steam service systems material cost ",4.425393,million,NULL,NULL,NULL,0
77,scale_0.4,"electric scale 0.4",0.4,1,NULL,NULL,NULL,0
78,scale_0.52,"SH scale 1.0",0.52,1,NULL,NULL,c_pump_per_unit_fac,0
79,scale_0.8,"thermal scale 0.8",0.8,1,NULL,NULL,NULL,0
80,scale_1.0,"thermal scale 1.0",1,1,NULL,NULL,NULL,0
81,scale_tur_231_fac,"factory scale of cost from turbine",1.017,1,NULL,NULL,NULL,0
82,CPI,"The Consumer Price Index",2.2,1,NULL,NULL,infl,0
83,Void_fraction,"Void fraction of the inside of the containment ",0.917,1,NULL,NULL,Internal_v_m3,0
84,liner_fraction,"liner fraction of containment",1,1,NULL,NULL,Liner_s_m2,0
85,Cont_H_tot_m,"Containment total height ",50.5968,m,NULL,NULL,Cont_H_wall_m,0
86,Cont_rad_out_m,"Containment outside radius ",15.24,m,NULL,NULL,"Cont_H_wall_m,Cont_rad_in_m,Basemat_s_m2,Walls_s_m2,Walls_v_m3,Dome_rad_in_m,Dome_s_m2,Dome_v_m3,Surf_paint_m2",0
87,Cont_shell_t_m,"Shell wall thickness ",1.3716,m,NULL,NULL,Cont_rad_in_m,0
88,Cont_H_wall_m,"Containment wall height ",35.3568,m,wall_height,"Cont_H_tot_m,Cont_rad_out_m","Walls_s_m2,Walls_v_m3,Intern_tot_v_m3,Inside_liner_s,Surf_paint_m2",0
89,Basemat_t_m,"Basemat thickness ",3.048,m,NULL,NULL,Basemat_v_m3,0
90,Dome_t_m,"Dome thickness ",1.0668,m,NULL,NULL,Dome_rad_in_m,0
