ind,code_of_account,account_description,total_cost,level,supaccount,review_status,prn,gncoa,gn_level,gn_supaccount,gn_ind
1,2,TOTAL DIRECT COST,2579172917,0,,Unchanged,1,20,0,,1
2,21,Structures and improvements subtotal,569959917,1,2,Unchanged,0.221920381,21,1,20,2
3,211,Yardwork,71213900,2,21,Unchanged,0.027628952,211,2,21,3
4,212,Reactor containment building,182702257,2,21,Unchanged,0.071675377,212.1,3,212,5
5,213,Turbine room and heater bay,65970400,2,21,Unchanged,0.025594624,213.1,3,213,9
6,214,Security building,3880760,2,21,Unchanged,0.001505624,216.2,3,216,25
7,215,Primary auxiliary building and tunnels,52634700,2,21,Unchanged,0.020420755,214.2,3,214,17
8,216,Waste processing building,40938300,2,21,Unchanged,0.015882887,215,2,21,22
9,217,Fuel storage building,28149600,2,21,Unchanged,0.010921238,214.1,3,214,16
10,218,Other structures,124470000,2,21,Unchanged,0.048290792,216,2,22,23
11,218A,Control Room/Diesel Generator Building,51570400,3,218,Unchanged,0.020007837,213.21,3,213,10
12,218B,Administration + Services Building,18938200,3,218,Unchanged,0.007347479,216.1,3,216,24
13,218D,"Fire Pump House, Including Foundations",1216200,3,218,Unchanged,0.000471851,214.5,3,214,19
14,218E,Emergency Feed Pump Building,7119140,3,218,Unchanged,0.002762022,214.7,3,214,21
15,218F,Manway Tnls. (Radiological Ctrl Access Tunnels),2170960,3,218,Unchanged,0.00084227,212.2,3,212,6
16,218G,Elec. Tunnels,193104,3,218,Unchanged,0.0000749,213.4,3,213,14
17,218H,Non- Essen. Switchgear Bldg.,1526990,3,218,Unchanged,0.000592428,214.6,3,214,20
18,218J,Main Steam + Feedwater Pipe Enc.,22416800,3,218,Unchanged,0.008697076,213.31,3,213,12
19,218K,Pipe Tunnels,904119,3,218,Unchanged,0.000350772,213.32,3,213,13
20,218L,Technical Support Center,2249450,3,218,Unchanged,0.000872722,216.4,3,216,26
21,218P,Containment Equipment Hatch Missile Shield,626665,3,218,Unchanged,0.000243128,212.3,3,212,7
22,218S,Waste Water Treatment,2186330,3,218,Unchanged,0.000848233,214.3,3,214,18
