ind,code_of_account,account_description,total_cost,level,supaccount,review_status,prn,gncoa,gn_level,gn_supaccount,gn_ind
1,2,Total Direct Cost,6673722963.402767,0,,Unchanged,,,,,
2,21,Structures and Improvements,1873207638.849651,1,2,Unchanged,,,,,
3,211,Yardwork,168782503.14335844,2,21,Unchanged,,,,,
4,211.1,General Yardwork,20891852.483847443,3,211,Unchanged,,,,,
5,211.4,Railroads,24779275.440519396,3,211,Unchanged,,,,,
6,211.7,Structure Associated Yardwork,123111375.21899164,3,211,Unchanged,,,,,
7,211.71,Cut & Fill,123111375.21899164,4,211.7,Unchanged,,,,,
8,212,Reactor Containment Building,1230414488.4331355,2,21,Unchanged,,,,,
9,212.1,Building Structure,1142969011.3226616,3,212,Unchanged,,,,,
10,212.13,Substructure Concrete,54782091.19215378,4,212.1,Unchanged,,,,,
11,212.14,Superstructure,306070909.6601447,4,212.1,Unchanged,,,,,
12,212.15,Containment Liner,782116010.4703628,4,212.1,Unchanged,,,,,
13,212.2,Building Services,36454501.72844233,3,212,Unchanged,,,,,
14,212.21,Plumbing & Drains,4027819.749719793,4,212.2,Unchanged,,,,,
15,212.22,"Heating, Ventilation, & Air Conditioning",898493.0499134801,4,212.2,Unchanged,,,,,
16,212.23,Safety HVAC,16823086.001537487,4,212.2,Unchanged,,,,,
17,212.24,Lighting & Service Power,13792794.68285957,4,212.2,Unchanged,,,,,
18,212.25,Elevator,912308.2444120044,4,212.2,Unchanged,,,,,
19,212.3,Passive cooling pool,50990975.38203157,3,212,Unchanged,,,,,
20,213,Turbine Room & Heater Bay,204469475.50302848,2,21,Unchanged,,,,,
21,213.1,Building Structure,176457081.073024,3,213,Unchanged,,,,,
22,213.13,Substructure Concrete,41050593.41581689,4,213.1,Unchanged,,,,,
23,213.14,Superstructure,135406487.65720716,4,213.1,Unchanged,,,,,
24,213.2,Building Services,28012394.430004448,3,213,Unchanged,,,,,
25,213.21,Plumbing & Drains,12633379.285833916,4,213.2,Unchanged,,,,,
26,213.22,"Heating, Ventilation, & Air Conditioning",9119488.030590547,4,213.2,Unchanged,,,,,
27,213.24,Lighting & Service Power,5301423.908740272,4,213.2,Unchanged,,,,,
28,213.25,Elevator,958103.20483971,4,213.2,Unchanged,,,,,
29,214,Security Building,12937560.497847723,2,21,Unchanged,,,,,
30,215,Primary Auxiliary Building & Tunnels,83112013.14095506,2,21,Unchanged,,,,,
31,215.1,Building Structure,49694983.488583684,3,215,Unchanged,,,,,
32,215.13,Substructure Concrete,3952439.0007155742,4,215.1,Unchanged,,,,,
33,215.14,Superstructure,45742544.487868115,4,215.1,Unchanged,,,,,
34,215.2,Building Services,33417029.652371366,3,215,Unchanged,,,,,
35,215.21,Plumbing & Drains,1991401.7359131363,4,215.2,Unchanged,,,,,
36,215.22,"Heating, Ventilation, & Air Conditioning",24435465.550044075,4,215.2,Unchanged,,,,,
37,215.23,Special HVAC (Safety Related),3704388.5857556695,4,215.2,Unchanged,,,,,
38,215.24,Lighting & Service Power,1885412.5602587564,4,215.2,Unchanged,,,,,
39,215.25,Elevator,1400361.2203997339,4,215.2,Unchanged,,,,,
40,216,Waste Process Building,60663948.80679136,2,21,Unchanged,,,,,
41,216.1,Building Structure,44207457.06284517,3,216,Unchanged,,,,,
42,216.13,Substructure Concrete,11377061.455771118,4,216.1,Unchanged,,,,,
43,216.14,Superstructure,32830395.607074056,4,216.1,Unchanged,,,,,
44,216.2,Building Services,16456491.743946176,3,216,Unchanged,,,,,
45,216.21,Plumbing & Drains,1377284.1964750844,4,216.2,Unchanged,,,,,
46,216.22,"Heating, Ventilation, & Air Conditioning",12395880.603823118,4,216.2,Unchanged,,,,,
47,216.24,Lighting & Service Power,1119835.3570465804,4,216.2,Unchanged,,,,,
