ind,alg_name,alg_for,alg_description,alg_python,alg_formulation,alg_units,variables,constants
1,category_scale,c,Scale a reference cost by one scale factor and optional multipliers/count/adjustment factors.,LPSRDirectCostFunc,ref * scale * optional_multipliers,$,"ref, scale, optional_multipliers",
2,cal_sup_str_S,v,Calculate cylinder-with-dome superstructure S for the containment structure.,LPSRDirectCostFunc,pi*D^2/2 + pi*D*H,m^2,"cont_D_D, cont_H_H",
3,formula_scale_flow_rate,v,Flow Rate direct formula scale.,LPSRDirectCostFunc,unit_cost_coefficient * input_unit_value / reference_direct_cost,1,"unit_cost_coefficient, input_unit_value, reference_direct_cost",
4,formula_scale_fuel_cask_capacity,v,Fuel Cask Capacity direct formula scale.,LPSRDirectCostFunc,unit_cost_coefficient * input_unit_value / reference_direct_cost,1,"unit_cost_coefficient, input_unit_value, reference_direct_cost",
5,formula_scale_fuel_crane_capacity,v,Fuel Crane Capacity direct formula scale.,LPSRDirectCostFunc,unit_cost_coefficient * input_unit_value / reference_direct_cost,1,"unit_cost_coefficient, input_unit_value, reference_direct_cost",
6,formula_scale_ht_surface_S,v,Ht Surface Area direct formula scale.,LPSRDirectCostFunc,unit_cost_coefficient * input_unit_value / reference_direct_cost,1,"unit_cost_coefficient, input_unit_value, reference_direct_cost",
7,formula_scale_pressurizer_mass,v,Pressurizer Mass direct formula scale.,LPSRDirectCostFunc,unit_cost_coefficient * input_unit_value / reference_direct_cost,1,"unit_cost_coefficient, input_unit_value, reference_direct_cost",
8,formula_scale_surface_S,v,Surface Area direct formula scale.,LPSRDirectCostFunc,unit_cost_coefficient * input_unit_value / reference_direct_cost,1,"unit_cost_coefficient, input_unit_value, reference_direct_cost",
9,formula_scale_surface_S_9_71886e_06,v,Surface Area 9 71886E 06 direct formula scale.,LPSRDirectCostFunc,unit_cost_coefficient * input_unit_value / reference_direct_cost,1,"unit_cost_coefficient, input_unit_value, reference_direct_cost",
10,formula_scale_vessel_mass,v,Vessel Mass direct formula scale.,LPSRDirectCostFunc,unit_cost_coefficient * input_unit_value / reference_direct_cost,1,"unit_cost_coefficient, input_unit_value, reference_direct_cost",
11,scale_law_admin_bldg,v,Admin Bldg scale law.,LPSRDirectCostFunc,(input_unit_value / reference_unit_value)^exponent,1,"input_unit_value, reference_unit_value, exponent",
12,scale_law_bldg_V,v,Building Volume scale law.,LPSRDirectCostFunc,(input_unit_value / reference_unit_value)^exponent,1,"input_unit_value, reference_unit_value, exponent",
13,scale_law_containment,v,Containment scale law.,LPSRDirectCostFunc,(input_unit_value / reference_unit_value)^exponent,1,"input_unit_value, reference_unit_value, exponent",
14,scale_law_control_dg_bldg,v,Control Dg Bldg scale law.,LPSRDirectCostFunc,(input_unit_value / reference_unit_value)^exponent,1,"input_unit_value, reference_unit_value, exponent",
15,scale_law_elec_P,v,Electric Power scale law.,LPSRDirectCostFunc,(input_unit_value / reference_unit_value)^exponent,1,"input_unit_value, reference_unit_value, exponent",
16,scale_law_electrical_bldg,v,Electrical Bldg scale law.,LPSRDirectCostFunc,(input_unit_value / reference_unit_value)^exponent,1,"input_unit_value, reference_unit_value, exponent",
17,scale_law_flow_rate,v,Flow Rate scale law.,LPSRDirectCostFunc,(input_unit_value / reference_unit_value)^exponent,1,"input_unit_value, reference_unit_value, exponent",
18,scale_law_fuel_storage,v,Fuel Storage scale law.,LPSRDirectCostFunc,(input_unit_value / reference_unit_value)^exponent,1,"input_unit_value, reference_unit_value, exponent",
19,scale_law_heat_rejection,v,Heat Rejection scale law.,LPSRDirectCostFunc,(input_unit_value / reference_unit_value)^exponent,1,"input_unit_value, reference_unit_value, exponent",
20,scale_law_piping_mass,v,Piping Mass scale law.,LPSRDirectCostFunc,(input_unit_value / reference_unit_value)^exponent,1,"input_unit_value, reference_unit_value, exponent",
21,scale_law_primary_aux_bldg,v,Primary Aux Bldg scale law.,LPSRDirectCostFunc,(input_unit_value / reference_unit_value)^exponent,1,"input_unit_value, reference_unit_value, exponent",
22,scale_law_reactor_equipment,v,Reactor Equipment scale law.,LPSRDirectCostFunc,(input_unit_value / reference_unit_value)^exponent,1,"input_unit_value, reference_unit_value, exponent",
23,scale_law_site_S,v,Site Area scale law.,LPSRDirectCostFunc,(input_unit_value / reference_unit_value)^exponent,1,"input_unit_value, reference_unit_value, exponent",
24,scale_law_turbine_bldg,v,Turbine Bldg scale law.,LPSRDirectCostFunc,(input_unit_value / reference_unit_value)^exponent,1,"input_unit_value, reference_unit_value, exponent",
25,scale_law_turbine_equipment,v,Turbine Equipment scale law.,LPSRDirectCostFunc,(input_unit_value / reference_unit_value)^exponent,1,"input_unit_value, reference_unit_value, exponent",
26,scale_law_V_of_212_213_215_216_217,v,Volume Of 212 213 215 216 217 scale law.,LPSRDirectCostFunc,(input_unit_value / reference_unit_value)^exponent,1,"input_unit_value, reference_unit_value, exponent",
27,scale_law_waste_bldg,v,Waste Bldg scale law.,LPSRDirectCostFunc,(input_unit_value / reference_unit_value)^exponent,1,"input_unit_value, reference_unit_value, exponent",
28,scale_law_wastewater_bldg,v,Wastewater Bldg scale law.,LPSRDirectCostFunc,(input_unit_value / reference_unit_value)^exponent,1,"input_unit_value, reference_unit_value, exponent",
29,scale_law_power,v,Power scale law.,LPSRDirectCostFunc,(input_unit_value / reference_unit_value)^exponent,1,"input_unit_value, reference_unit_value, exponent",
30,sum_all,c/v,Sum all supplied child cost elements or intermediate variables.,LPSRDirectCostFunc,sum(values),$,values,
31,calc_rej_th_P,v,Rejected thermal power = thermal power - electric power.,LPSRDirectCostFunc,rx_P - elec_P,MWt,"rx_P, elec_P",
