ind,cost_element,cost_2018,sup_cost_ele,alg_name,fun_unit,variables,account,algno,updated,source_row_type
1,2_fac,3266428952.085057,,,$,,2,LPSR_DIRECT,0,rollup_from_subaccounts
2,2_mat,794260433.2990031,,,$,,2,LPSR_DIRECT,0,rollup_from_subaccounts
3,2_lab,2613033578.0187063,,,$,,2,LPSR_DIRECT,0,rollup_from_subaccounts
4,21_fac,314038745.59416413,2_fac,,$,,21,LPSR_DIRECT,0,rollup_from_subaccounts
5,21_mat,492688958.19741386,2_mat,,$,,21,LPSR_DIRECT,0,rollup_from_subaccounts
6,21_lab,1066479935.0580729,2_lab,,$,,21,LPSR_DIRECT,0,rollup_from_subaccounts
7,211_fac,1229953.366187282,21_fac,,$,,211,LPSR_DIRECT,0,rollup_from_subaccounts
8,211_mat,62780240.46622049,21_mat,,$,,211,LPSR_DIRECT,0,rollup_from_subaccounts
9,211_lab,104772309.3109507,21_lab,,$,,211,LPSR_DIRECT,0,rollup_from_subaccounts
10,211.1_fac,664010.2897517778,211_fac,category_scale,$,"ref_211_1_fac, scale_S, scale_ap1000",211.1,LPSR_DIRECT,0,category_scaled
11,211.1_mat,8701537.62027528,211_mat,category_scale,$,"ref_211_1_mat, scale_S, scale_ap1000",211.1,LPSR_DIRECT,0,category_scaled
12,211.1_lab,11526304.573820388,211_lab,category_scale,$,"ref_211_1_lab, scale_S, scale_ap1000",211.1,LPSR_DIRECT,0,category_scaled
13,211.4_fac,0.0,211_fac,,$,,211.4,LPSR_DIRECT,0,category_scaled
14,211.4_mat,10578450.488724835,211_mat,category_scale,$,"ref_211_4_mat, scale_P, scale_ap1000",211.4,LPSR_DIRECT,0,category_scaled
15,211.4_lab,14200824.951794563,211_lab,category_scale,$,"ref_211_4_lab, scale_P, scale_ap1000",211.4,LPSR_DIRECT,0,category_scaled
16,211.7_fac,565943.0764355041,211_fac,,$,,211.7,LPSR_DIRECT,0,rollup_from_subaccounts
17,211.7_mat,43500252.35722038,211_mat,,$,,211.7,LPSR_DIRECT,0,rollup_from_subaccounts
18,211.7_lab,79045179.78533573,211_lab,,$,,211.7,LPSR_DIRECT,0,rollup_from_subaccounts
19,211.71_fac,565943.0764355041,211.7_fac,sum_all,$,"ce_211_711_fac, ce_211_712_fac",211.71,LPSR_DIRECT,0,rollup_from_moved_variables
20,211.71_mat,43500252.35722038,211.7_mat,sum_all,$,"ce_211_711_mat, ce_211_712_mat",211.71,LPSR_DIRECT,0,rollup_from_moved_variables
21,211.71_lab,79045179.78533573,211.7_lab,sum_all,$,"ce_211_711_lab, ce_211_712_lab",211.71,LPSR_DIRECT,0,rollup_from_moved_variables
22,212_fac,265354135.4854981,21_fac,,$,,212,LPSR_DIRECT,0,rollup_from_subaccounts
23,212_mat,265226006.17784026,21_mat,,$,,212,LPSR_DIRECT,0,rollup_from_subaccounts
24,212_lab,699834346.769797,21_lab,,$,,212,LPSR_DIRECT,0,rollup_from_subaccounts
25,212.1_fac,260662312.98570865,212_fac,,$,,212.1,LPSR_DIRECT,0,rollup_from_subaccounts
26,212.1_mat,223304061.2222388,212_mat,,$,,212.1,LPSR_DIRECT,0,rollup_from_subaccounts
27,212.1_lab,659002637.1147139,212_lab,,$,,212.1,LPSR_DIRECT,0,rollup_from_subaccounts
28,212.13_fac,0.0,212.1_fac,,$,,212.13,LPSR_DIRECT,0,collapsed_rollup_zero
29,212.13_mat,23015624.22840005,212.1_mat,category_scale,$,"ref_212_13_mat, scale_sub_str_V, scale_ap1000",212.13,LPSR_DIRECT,0,collapsed_category_scaled
30,212.13_lab,31766466.96375373,212.1_lab,category_scale,$,"ref_212_13_lab, scale_sub_str_V, scale_ap1000",212.13,LPSR_DIRECT,0,collapsed_category_scaled
31,212.14_fac,9659226.660654046,212.1_fac,sum_all,$,"ce_212_141_fac, ce_212_140_fac, ce_212_142_fac, ce_212_149_fac",212.14,LPSR_DIRECT,0,rollup_from_moved_variables
