ind,var_name,var_description,var_value,var_unit,var_alg,var_need,v_linked,user_input
1,adm_bldg_bldg_vol,Building volume for 219.142,0.0,m^3,,,scale_adm_bldg_bldg_vol,0
2,S,General Yardwork Area for 211.1,23.0,m^2,,,scale_S,0
3,bldg_V,Structural & Miscellaneous Steel Building volume for 213.142,194392.0,m^3,,,scale_bldg_V,0
4,cont_D_D,LPSR A.212.15 containment cylinder/dome diameter D,44.2,m,,,sup_str_S,0
5,cont_hatch_ms_bldg_vol,Building volume for 219.142,0.0,m^3,,,scale_cont_hatch_ms_bldg_vol,0
6,cont_H_H,LPSR A.212.15 containment cylinder height H,45.7,m,,,sup_str_S,0
7,cont_V,Containment Spray System Containment volume for 223.4,86163.9381112316,m^3,,,scale_cont_V,0
8,cr_dg_bldg_bldg_vol,Structural & Miscellaneous Steel Building volume for 218142,2660.0,m^3,,,scale_cr_dg_bldg_bldg_vol,0
9,cr_dg_bldg_sub_S,Roofing & Flashing Substructure S for 218145,380.0,m^2,,,scale_cr_dg_bldg_sub_S,0
10,cr_dg_bldg_sub_vol,Substructure Concrete Substructure volume for 21813,228.0,m^3,,,scale_cr_dg_bldg_sub_vol,0
11,cr_dg_bldg_sup_S,Painting Superstructure S for 218149,546.0,m^2,,,scale_cr_dg_bldg_sup_S,0
12,cr_dg_bldg_sup_vol,Concrete Work Superstructure volume for 218141,163.79999999999998,m^3,,,scale_cr_dg_bldg_sup_vol,0
13,elec_P,"Input unit value for Electric power scale, source account 231.; also used for new_base_turbine_plant_equipment_elec_P",2234.0,MWe,,,"rej_th_P, scale_elec_P, scale_tur_plant_equip_elec_P",0
14,elec_tunnel_bldg_vol,Building volume for 219.142,0.0,m^3,,,scale_elec_tunnel_bldg_vol,0
15,frm_flow,Fluid Circulation Drive System Flow rate for 222.11,5000.0,kg/s,,,scale_frm_flow,0
16,frm_fuel_cask_cap,Spent Fuel Cask Crane Fuel cask capacity for 225.114,113.0,tonne,,,scale_frm_fuel_cask_cap,0
17,frm_fuel_crane_cap,New & Spent Fuel Crane Fuel crane capacity for 225.111,2.0,tonne,,,scale_frm_fuel_crane_cap,0
18,frm_ht_S,Steam Generator Equipment HT surface S for 222.13,11477.0,m^2,,,scale_frm_ht_S,0
19,frm_prz_M,Pressurizing System Pressurizer mass for 222.14,106000.0,kg,,,scale_frm_prz_M,0
20,frm_S,Passive cooling pool Surface S for 212.3,1000.0,m^2,,,scale_frm_S,0
21,frm_S_9_71886e_06,Storage Pool Liner - S.S. Surface S for 217.3,480.0,m^2,,,scale_frm_S_9_71886e_06,0
22,frm_vsl_M,Reactor Vessel + Accessory Vessel mass for 221.1,352000.0,kg,,,scale_frm_vsl_M,0
23,fuel_stor_bldg_bldg_vol,Structural & Miscellaneous Steel Building volume for 217.142,18900.0,m^3,,,scale_fuel_stor_bldg_bldg_vol,0
24,fuel_stor_bldg_sub_S,Roofing & Flashing Substructure S for 217.145,700.0,m^2,,,scale_fuel_stor_bldg_sub_S,0
25,fuel_stor_bldg_sub_vol,Substructure Concrete Substructure volume for 217.13,420.0,m^3,,,scale_fuel_stor_bldg_sub_vol,0
