ind,code_of_account,account description,total_cost,level,supaccount,review_status,prn,alg_name,fun_unit,variables
1,2,Plant direct cost,5523932823,0,,Unchanged,1,acc2,million,
2,21,Total account 21 cost,778648283.5,1,2,Unchanged,0.140959043,acc21,million,
3,211,"Site improvements, facilities, land",35200000,2,21,Unchanged,0.006372272,acc211,million,"csi, lsa, cland"
4,212,Reactor building cost,452161853.1,2,21,Unchanged,0.08185506,acc212,million,"ucrb, rbvol, exprb, lsa"
5,213,Turbine building cost,38000000,2,21,Unchanged,0.006879157,acc213,million,"ireactor, cturbb, lsa"
6,214,Reactor maintenance and warm shop buildings cost,160708943.7,2,21,Unchanged,0.029093211,acc214,million,
7,2141,Reactor maintenance building cost,103067666.8,3,214,Unchanged,0.018658385,acc2141,million,"ucmb, rmbvol, exprb, lsa"
8,2142,Warm shop cost,57641276.92,3,214,Unchanged,0.010434826,acc2142,million,"ucws, wsvol, exprb, lsa"
9,215,Tritium building cost,14800000,2,21,Unchanged,0.002679251,acc215,million,"uctr, triv, exprb, lsa"
10,216,Electrical equipment building cost,19706763.56,2,21,Unchanged,0.003567524,acc216,million,"ucel, elevol, exprb, lsa"
11,217,Other buildings cost,58070723.2,2,21,Unchanged,0.010512569,acc217,million,
12,2171,Additional buildings cost,18000000,3,217,Unchanged,0.003258548,acc2171,million,"ucad, admvol, exprb, lsa"
13,2172,Control room buildings cost,21000000,3,217,Unchanged,0.003801639,acc2172,million,"ucco, convol, exprb, lsa"
14,2173,Shop and warehouses cost,11500000,3,217,Unchanged,0.00208185,acc2173,million,"ucsh, shovol, exprb, lsa"
15,2174,Cryogenic building cost,7570723.2,3,217,Unchanged,0.001370531,acc2174,million,"uccr, cryvol, exprb, lsa"
16,22,Total account 22 cost,4450975680,1,2,Unchanged,0.805762094,acc22,million,
17,221,Total account 221 cost,1413062555,2,22,Unchanged,0.255807339,acc221,million,
18,2211,First wall cost,191300792.1,3,221,Unchanged,0.034631267,acc2211,million,"ife, ucfwa, ucfws, fwarea, ucfwps, ucblss, fwmatm, uccarb, ucblli2o, ucconc, ifueltyp, fwallcst"
19,2212,Blanket total cost,981664978.6,3,221,Unchanged,0.177711245,acc2212,million,
20,22121,Blanket beryllium cost,261092739.8,4,2212,Unchanged,0.047265734,acc22121,million,"ife, wtbllipb, ucbllipb, whtblbe, ucblbe, iblanket, lsa"
21,22122,Blanket breeder material cost,639846060.7,4,2212,Unchanged,0.115831615,acc22122,million,"whtblli, ucblli, whtblbreed, ucblbreed, wtblli2o, ucblli2o, iblanket, lsa, ife"
22,22123,Blanket stainless steel cost,80726178.24,4,2212,Unchanged,0.014613896,acc22123,million,"whtblss, ucblss, lsa"
23,22124,Blanket vanadium cost,0,4,2212,Unchanged,0,acc22124,million,"whtblvd, ucblvd, ife, lsa"
24,2213,Total shield cost,156788405.4,3,221,Unchanged,0.028383474,acc2213,million,
25,22131,Bulk shield cost,78394202.68,4,2213,Unchanged,0.014191737,acc22131,million,"ife, whtshld, ucshld, lsa, shmatm, uccarb, ucblli2o, ucconc"
26,22132,Penetration shielding cost,78394202.68,4,2213,Unchanged,0.014191737,acc22132,million,"ife, wpenshld, ucpens, lsa"
27,2214,Total support structure cost,41648347.22,3,221,Unchanged,0.007539619,acc2214,million,"gsmass, ucgss, lsa"
28,2215,Divertor cost,41660031.86,3,221,Unchanged,0.007541734,acc2215,million,"ife, divsur, ucdiv, ifueltyp, divcst"
29,222,Total account 222 cost,1755392733,2,22,Unchanged,0.317779522,acc222,million,
30,2221,TF magnet assemblies cost,820550431.9,3,222,Unchanged,0.148544607,acc2221,million,
31,22211,TF coil conductor cost,130258092.5,4,2221,Unchanged,0.02358068,acc22211,million,"whtcp, uccpcl1, itart, ifueltyp, cpstcst, ucsc_4, whtconsc, tfleng, n_tf_turn, uccu, whtconcu, cconshtf, cconfix, n_tf, lsa, i_tf_sup"
32,22212,TF coil winding cost,55700223.23,4,2221,Unchanged,0.010083436,acc22212,million,"whttflgs, uccpclb, lsa, ucwindtf, n_tf, tfleng, n_tf_turn, i_tf_sup"
33,22213,TF coil case cost,439106666.3,4,2221,Unchanged,0.079491674,acc22213,million,"whtcas, uccase, n_tf, lsa, i_tf_sup"
34,22214,TF intercoil structure cost,150045051.6,4,2221,Unchanged,0.027162722,acc22214,million,"aintmass, ucint, lsa, i_tf_sup"
35,22215,TF coil gravity support structure,45440398.23,4,2221,Unchanged,0.008226095,acc22215,million,"clgsmass, ucgss, lsa, i_tf_sup"
36,2222,PF magnet assemblies cost,680800177,3,222,Unchanged,0.123245557,acc2222,million,
37,22221,PF coil conductor cost,466068431.2,4,2222,Unchanged,0.084372574,acc22221,million,"ipfres, cconshpf, iohcl, nohc, ucsc_0, ucsc_1, ucsc_2, ucsc_3, ucsc_4, ucsc_5, ucsc_6, ucsc_7, ucsc_8, isumatpf, fcupfsu, vf, ric_0, ric_1, ric_2, ric_3, ric_4, ric_5, ric_6, turns_0, turns_1, turns_2, turns_3, turns_4, turns_5, turns_6, rjconpf_0, rjconpf_1, rjconpf_2, rjconpf_3, rjconpf_4, rjconpf_5, rjconpf_6, rjconpf_7, dcond_0, dcond_1, dcond_2, dcond_3, dcond_4, dcond_5, dcond_6, dcond_7, dcond_8, uccu, dcopper, cconfix, twopi, rpf_0, rpf_1, rpf_2, rpf_3, rpf_4, rpf_5, rpf_6, lsa, isumatoh, awpoh, vfohc, fcuohsu"
38,22222,PF coil winding cost,77130237.29,4,2222,Unchanged,0.013962921,acc22222,million,"ucwindpf, lsa, twopi, rpf_0, rpf_1, rpf_2, rpf_3, rpf_4, rpf_5, rpf_6, turns_0, turns_1, turns_2, turns_3, turns_4, turns_5, turns_6, nohc"
39,22223,PF coil case cost,129551313.8,4,2222,Unchanged,0.023452732,acc22223,million,"uccase, whtpfs, lsa"
40,22224,PF coil support structure cost,8050194.63,4,2222,Unchanged,0.00145733,acc22224,million,"ucfnc, fncmass, lsa"
41,2223,Vacuum vessel assembly cost,254042123.8,3,222,Unchanged,0.045989358,acc2223,million,"vvmass, uccryo, lsa"
42,223,Total account 223 cost,241046837.7,2,22,Unchanged,0.043636816,acc223,million,
43,2231,ECH system cost,241046837.7,3,223,Unchanged,0.043636816,acc2231,million,"ucech, echpwr, exprf, ifedrv, dcdrv1, dcdrv2, cdriv1, mcdriv, edrive, etadrv, dcdrv0, cdriv0 ,cdriv3, fcdfuel"
44,2232,Lower hybrid system cost,0,3,223,Unchanged,0,acc2232,million,"iefrf, uclh, plhybd, exprf, ucich"
45,2233,Neutral beam system cost,0,3,223,Unchanged,0,acc2233,million,"ucnbi, exprf, fcdfuel"
46,224,Total account 224 cost,26934799.04,2,22,Unchanged,0.004876019,acc224,million,
47,2241,High vacuum pumps cost,12480000,3,224,Unchanged,0.00225926,acc2241,million,"vpumpn, uccpmp, uctpmp, ntype"
48,2242,Backing pumps cost,4680000,3,224,Unchanged,0.000847222,acc2242,million,"nvduct, ucbpmp"
49,2243,Vacuum duct cost,2590254.5,3,224,Unchanged,0.000468915,acc2243,million,"nvduct, dlscal, ucduct"
50,2244,Valves cost,5884544.54,3,224,Unchanged,0.001065282,acc2244,million,"nvduct, vcdimax, ucvalv"
51,2245,Duct shielding cost,0,3,224,Unchanged,0,acc2245,million,"nvduct, vacdshm, ucvdsh"
52,2246,Instrumentation cost,1300000,3,224,Unchanged,0.00023534,acc2246,million,ucviac
53,225,Total account 225 cost,154876266,2,22,Unchanged,0.028037319,acc225,million,
54,2251,"Total, TF coil power costs",98208291.45,3,225,Unchanged,0.01777869,acc2251,million,
55,22511,TF coil power supplies cost,3967323.07,4,2251,Unchanged,0.000718206,acc22511,million,"uctfps, tfckw, tfcmw, expel"
56,22512,TF coil breakers cost,34112697.55,4,2251,Unchanged,0.006175437,acc22512,million,"uctfbr, n_tf, cpttf, vtfskv, expel, uctfsw"
57,22513,TF coil dump resistors cost,21125590.34,4,2251,Unchanged,0.003824375,acc22513,million,"uctfdr, estotftgj, uctfgr, n_tf"
58,22514,TF coil instrumentation and control,4800000,4,2251,Unchanged,0.000868946,acc22514,million,"uctfic, n_tf, "
59,22515,TF coil bussing cost,34202680.49,4,2251,Unchanged,0.006191726,acc22515,million,"uctfbus, tfbusmas, ucbus, cpttf, tfbusl"
60,2252,"Total, PF coil power costs",39768511.04,3,225,Unchanged,0.007199311,acc2252,million,
61,22521,PF coil power supplies cost,2932371.33,4,2252,Unchanged,0.000530848,acc22521,million,"ucpfps, peakmva"
62,22522,PF coil instrumentation and control,3600000,4,2252,Unchanged,0.00065171,acc22522,million,"ucpfic, pfckts"
63,22523,PF coil bussing cost,11995200,4,2252,Unchanged,0.002171496,acc22523,million,"ucpfb, spfbusl, acptmax"
64,22524,PF coil burn power supplies cost,1267929.14,4,2252,Unchanged,0.000229534,acc22524,million,"ucpfbs, pfckts, srcktpm"
65,22525,PF coil breakers cost,14709370.28,4,2252,Unchanged,0.002662844,acc22525,million,"ucpfbk, pfckts, acptmax, vpfskv"
66,22526,PF coil dump resistors cost,4363640.29,4,2252,Unchanged,0.000789952,acc22526,million,"ucpfdr1, ensxpfm"
67,22527,PF coil ac breakers cost,900000,4,2252,Unchanged,0.000162927,acc22527,million,"ucpfcb, pfckts"
68,2253,"Total, energy storage cost",16899463.51,3,225,Unchanged,0.003059317,acc2253,million,"lpulse, istore, ucblss, pthermmw, tdown, dtstor, pnetelmw"
69,226,Total account 226 cost,332122997.5,2,22,Unchanged,0.060124373,acc226,million,"cal_acc2261, cal_acc2262, cal_acc2263"
70,2261,"Total, reactor cooling system cost",109472365.6,3,226,Unchanged,0.019817831,acc2261,million,
71,22611,Pumps and piping system cost,37134735.98,4,2261,Unchanged,0.006722518,acc22611,million,"uchts, coolwh, pfwdiv, exphts, pnucblkt, pnucshld, lsa"
72,22612,Primary heat exchanger cost,72337629.6,4,2261,Unchanged,0.013095313,acc22612,million,"ucphx, nphx, pthermmw, exphts, lsa"
73,2262,"Pumps, piping cost",29300032.53,3,226,Unchanged,0.005304198,acc2262,million,"ucahts, pinjht, exphts, crypmw, vachtmw, trithtmw, fachtmw, ife, tdspmw, tfacmw, lsa"
74,2263,"Total, cryogenic system cost",193350599.4,3,226,Unchanged,0.035002344,acc2263,million,"uccry, tmpcry, helpow, lsa, expcry"
75,227,Total account 227 cost,252539491.6,2,22,Unchanged,0.045717336,acc227,million,
76,2271,Fuelling system cost,22300000,3,227,Unchanged,0.004036979,acc2271,million,ucf1
77,2272,Fuel processing and purification cost,103001575.3,3,227,Unchanged,0.018646421,acc2272,million,"ife, rndfuel, afuel, umass, gain, edrive, fburn, reprat, ucfpr"
78,2273,Atmospheric recovery systems cost,58061674.55,3,227,Unchanged,0.010510931,acc2273,million,"ftrit, ucdtc, volrci, wsvol"
79,2274,Nuclear building ventilation cost,69176241.77,3,227,Unchanged,0.012523006,acc2274,million,"ucnbv, volrci, wsvol"
80,228,Instrumentation and control cost,150000000,2,22,Unchanged,0.027154566,acc228,million,uciac
81,229,Maintenance equipment cost,125000000,2,22,Unchanged,0.022628805,acc229,million,ucme
82,23,Turbine plant equipment cost,178012556.3,1,2,Unchanged,0.032225692,acc23,million,"ireactor, ucturb, coolwh, pgrossmw, exptpe"
83,24,Total account 24 cost,40776153.7,1,2,Unchanged,0.007381725,acc24,million,
84,241,Switchyard equipment cost,18400000,2,24,Unchanged,0.00333096,acc241,million,"ucswyd, lsa"
