ind,var_name,var_description,var_value,var_unit,var_alg,var_need,v_linked,user_input
1,a,"plasma minor radius ",2.666666667,m,,,fncmass,0
2,acptmax,"average of currents in PF circuits",23.33333333,kA,,,,0
3,admvol,"volume of administration buildings",100000,m3,,,,0
4,afuel,"average mass of fuel portion of ions",2.5,amu,,,,0
5,ai,,16658822.35,,,,aintmass,0
6,aintmass,"intercoil structure mass",4287001.474519037,kg,calaintmass,"ai, tf_h_width, b0",aintmass,0
7,akappa,"plasma elongation",1.85,N/A,,,fncmass,0
8,areaoh,"Central solenoid vertical cross-sectional area",9.067197218,m2,,,awpoh,0
9,awpoh,"central solenoid conductor+void area with area of steel subtracted",4.416007689219207,m2,calawpoh,"oh_steel_frac, areaoh",awpoh,0
10,b0,"aixal B-field ",5.271296905,T,,,aintmass,0
11,blmass,"blanket mass",2967570.482,kg,,,gsmass,0
12,cconfix,"fixed cost of superconducting cable",80,$/m,,,,0
13,cconshpf,"cost of PF coil steel conduit/sheath",70,$/m,,,,0
14,cconshtf,"cost of TF coil steel conduit/sheath",75,$/m,,,,0
15,cdirt,"total plant direct cost",5520,M$,,,,0
16,cdriv0,"IFE generic/laser driver cost at edrive=0",154.3,M$,,,,0
17,cdriv1,"IFE low energy heavy ion beam driver cost extrapolated to `edrive=0`",163.2,M$,,,,0
18,cdriv2,"IFE high energy heavy ion beam driver cost extrapolated to `edrive=0`",244.9,M$,,,,0
19,cdriv3,"IFE driver cost (`ifedrv==3`)",1.463,"($/J wall plug)",,,,0
20,cfind_0,"indirect cost factor ",0.244,N/A,,,,0
21,cfind_1,"indirect cost factor ",0.244,N/A,,,,0
22,cfind_2,"indirect cost factor ",0.244,N/A,,,,0
23,cfind_3,"indirect cost factor ",0.29,N/A,,,,0
24,cland,"cost of land",19.2,M$,,,,0
25,clgsmass,"gravity support structure for TF coil, PF coil and intercoil support systems",1298297.09223369,kg,calclgsmass,"coilmass, r0, dens, sigal",clgsmass,0
26,coilmass,"total mass of coils plus support pluss vaccum vessel and cryostat ",34970608.25,kg,,,clgsmass,0
27,convol,"volume of control, protection and i&c building",60000,m3,,,,0
28,coolmass,"total water coolant mass ",1180.194346,kg,,,gsmass,0
29,coolwh,"Switch for blanket coolant",1,N/A,,,,0
30,cowner,"owner cost factor",0.15,N/A,,,,0
31,cpstcst,"ST centrepost direct cost",0,M$,,,,0
32,cpttf,"TF coil current per turn",87100,A,,,,0
33,crypmw,"cryogenic plant power",44.2,MW,,,,0
34,cryvol,"volume of cryoplant building",16458.0939026203,m3,,,,0
35,csi,"allowance for site costs",16,million,,,,0
36,cturbb,"cost of turbine building",38,M$,,,,0
37,d_0,"vacuum duct diameter",0.101,m,,,dlscal,0
38,d_1,"vacuum duct diameter",0.201,m,,,dlscal,0
39,d_2,"vacuum duct diameter",0.487,m,,,dlscal,0
40,d_3,"vacuum duct diameter",0.000001,m,,,dlscal,0
41,dcdrv0,"IFE generic/laser driver cost gradient",111.4,M$/MJ,,,,0
42,dcdrv1,"HIB driver cost gradient at low energy",78,M$/MJ,,,,0
43,dcdrv2,"HIB driver cost gradient at high energy",59.9,M$/MJ,,,,0
44,dcond_0,"density of superconductor type given by i_tf_sc_mat/isumatoh/isumatpf",6080,kg/m3,,,,0
45,dcond_1,"density of superconductor type given by i_tf_sc_mat/isumatoh/isumatpf",6080,kg/m4,,,,0
46,dcond_2,"density of superconductor type given by i_tf_sc_mat/isumatoh/isumatpf",6070,kg/m5,,,,0
47,dcond_3,"density of superconductor type given by i_tf_sc_mat/isumatoh/isumatpf",6080,kg/m6,,,,0
48,dcond_4,"density of superconductor type given by i_tf_sc_mat/isumatoh/isumatpf",6080,kg/m7,,,,0
49,dcond_5,"density of superconductor type given by i_tf_sc_mat/isumatoh/isumatpf",8500,kg/m8,,,,0
50,dcond_6,"density of superconductor type given by i_tf_sc_mat/isumatoh/isumatpf",6070,kg/m9,,,,0
51,dcond_7,"density of superconductor type given by i_tf_sc_mat/isumatoh/isumatpf",8500,kg/m10,,,,0
52,dcond_8,"density of superconductor type given by i_tf_sc_mat/isumatoh/isumatpf",8500,kg/m11,,,,0
53,dcopper,"density of copper",8900,kg/m3,,,,0
54,dens,"density of coil gravity support mass",7800,kg/m3,,,clgsmass,0
55,divcst,"divertor direct cost",0,M$,,,,0
56,divsur,"divertor surface area",149,m2,,,,0
57,dlscal,"vacuum system duct length scaling",3.831737433,N/A,caldlscal,"l1, ltot, d, imax",dlscal,0
58,drbi,"length to allow laydown",107.4482843,m,,,"rbvol, volrci",0
59,dtstor,"maximum allowable temperature change in stainless steel thermal storage block",300,K,,,,0
60,dvrtmass,"total mass of divertor and associated structure",36452.52788,kg,,,gsmass,0
61,ealphadt,"alpha birth energy in D-T reaction ",3520,keV,,,rndfuel,0
62,echarge,"electron charge",1.6e-19,C,,,rndfuel,0
63,echpwr,"ECH power ",80.34894588680848,MW,calechpwr,"faccd, faccdfix, plascur, effrfss, pheat",echpwr,0
64,edrive,"IFE driver energy",5000000,J,,,,0
65,effrfss,"lower hybrid current drive efficienty",0.046410516,A/W,,,echpwr,0
66,elevol,"volume of electrical equipment building",51859.90411732225,m3,calelevol,"tfcbv, pfbldgm3, esbldgm3, pibv",elevol,0
67,ensxpfm,"maximum stored energy in the PF circuits",29100,MJ,,,,0
68,esbldgm3,"volume of energy storage equipment building (not used if `lpulse=0`)",1000,m3,,,elevol,0
69,estotftgj,"total stored energy in the toroidal field",120,GJ,,,,0
70,etadrv,"IFE driver wall plug to target efficiency",0,N/A,,,,0
71,expel,,0.7,N/A,,,,0
72,expepe,,0.9,N/A,,,,0
73,exphts,,0.7,N/A,,,,0
74,exprb,,1,N/A,,,,0
75,exprf,,1,N/A,,,,0
76,exptpe,,0.83,N/A,,,,0
77,faccd,"fraction of plasma current produced by auxiliary current drive",0.014901854,N/A,,,echpwr,0
78,faccdfix,"fixed auxiliary current",0,A,,,echpwr,0
79,fachtmw,"facility heat removal",55.5,MW,,,,0
80,fburn,"IFE burn fraction",0.3333,"fraction of tritium fused/target",,,,0
81,fcap0,"average cost of money for construction of plant assuming design/construction time of six years",1.165,N/A,,,,0
82,fcdfuel,"fraction of current drive cost treated as fuel (if `ifueltyp = 1`)",0.1,N/A,,,,0
83,fcontng,"project contingency factor",0.195,N/A,,,,0
84,fcsht,"total baseline power required at all times",55.5,MW,,,,0
85,fcuohsu,"copper fraction of strand in central solenoid",0.7,N/A,,,,0
86,fcupfsu,"copper fraction of cable conductor (PF coils)",0.69,N/A,,,,0
87,fkind,"multiplier for Nth of a kind costs",1,N/A,,,,0
