ind,code_of_account,account_description,total_cost,level,supaccount,review_status,prn,gncoa,gn_level,gn_supaccount,gn_ind
1,2,Total Direct Cost,2338310525.947884,0,,Unchanged,,,,,
2,21,Structures and Improvements,656326485.7153728,1,2,Unchanged,,,,,
3,211,Yardwork,59137292.0123008,2,21,Unchanged,,,,,
4,211.1,General Yardwork,7319997.973758064,3,211,Unchanged,,,,,
5,211.4,Railroads,8682056.613028087,3,211,Unchanged,,,,,
6,211.7,Structure Associated Yardwork,43135237.42551465,3,211,Unchanged,,,,,
7,211.71,Cut & Fill,43135237.42551465,4,211.7,Unchanged,,,,,
8,212,Reactor Containment Building,431107369.20895857,2,21,Unchanged,,,,,
9,212.1,Building Structure,400468596.7134189,3,212,Unchanged,,,,,
10,212.13,Substructure Concrete,19194314.952914417,4,212.1,Unchanged,,,,,
11,212.14,Superstructure,107239817.06604256,4,212.1,Unchanged,,,,,
12,212.15,Containment Liner,274034464.6944618,4,212.1,Unchanged,,,,,
13,212.2,Building Services,12772772.49553962,3,212,Unchanged,,,,,
14,212.21,Plumbing & Drains,1411250.2675101166,4,212.2,Unchanged,,,,,
15,212.22,"Heating, Ventilation, & Air Conditioning",314810.15433587646,4,212.2,Unchanged,,,,,
16,212.23,Safety HVAC,5894400.965104541,4,212.2,Unchanged,,,,,
17,212.24,Lighting & Service Power,4832660.445456088,4,212.2,Unchanged,,,,,
18,212.25,Elevator,319650.663133,4,212.2,Unchanged,,,,,
19,212.3,Passive cooling pool,17866000.0,3,212,Unchanged,,,,,
20,213,Turbine Room & Heater Bay,71641140.8483154,2,21,Unchanged,,,,,
21,213.1,Building Structure,61826277.8233022,3,213,Unchanged,,,,,
22,213.13,Substructure Concrete,14383131.455560014,4,213.1,Unchanged,,,,,
23,213.14,Superstructure,47443146.3677422,4,213.1,Unchanged,,,,,
24,213.2,Building Services,9814863.02501319,3,213,Unchanged,,,,,
25,213.21,Plumbing & Drains,4426429.434418011,4,213.2,Unchanged,,,,,
26,213.22,"Heating, Ventilation, & Air Conditioning",3195247.236081393,4,213.2,Unchanged,,,,,
27,213.24,Lighting & Service Power,1857490.2488907848,4,213.2,Unchanged,,,,,
28,213.25,Elevator,335696.10562299995,4,213.2,Unchanged,,,,,
