ind,cost_element,cost_2017,sup_cost_ele,alg_name,fun_unit,variables,account,algno,updated,source_row_type
1,2_fac,1144477414.301749,,,$,,2,LPSR_DIRECT,1,rollup_from_subaccounts
2,2_mat,278289575.6553897,,,$,,2,LPSR_DIRECT,1,rollup_from_subaccounts
3,2_lab,915543535.9907448,,,$,,2,LPSR_DIRECT,1,rollup_from_subaccounts
4,21_fac,110031553.36311592,2_fac,,$,,21,LPSR_DIRECT,1,rollup_from_subaccounts
5,21_mat,172626251.23772037,2_mat,,$,,21,LPSR_DIRECT,1,rollup_from_subaccounts
6,21_lab,373668681.1145364,2_lab,,$,,21,LPSR_DIRECT,1,rollup_from_subaccounts
7,211_fac,430945.803167464,21_fac,,$,,211,LPSR_DIRECT,1,rollup_from_subaccounts
8,211_mat,21996672.308503065,21_mat,,$,,211,LPSR_DIRECT,1,rollup_from_subaccounts
9,211_lab,36709673.90063027,21_lab,,$,,211,LPSR_DIRECT,1,rollup_from_subaccounts
10,211.1_fac,232653.08709677425,211_fac,category_scale,$,"ref_211_1_fac, scale_S",211.1,LPSR_DIRECT,1,category_scaled
11,211.1_mat,3048807.5577903227,211_mat,category_scale,$,"ref_211_1_mat, scale_S",211.1,LPSR_DIRECT,1,category_scaled
12,211.1_lab,4038537.328870968,211_lab,category_scale,$,"ref_211_1_lab, scale_S",211.1,LPSR_DIRECT,1,category_scaled
13,211.4_fac,0.0,211_fac,,$,,211.4,LPSR_DIRECT,1,category_scaled
14,211.4_mat,3706432.266015384,211_mat,category_scale,$,"ref_211_4_mat, scale_P",211.4,LPSR_DIRECT,1,category_scaled
15,211.4_lab,4975624.347012703,211_lab,category_scale,$,"ref_211_4_lab, scale_P",211.4,LPSR_DIRECT,1,category_scaled
16,211.7_fac,198292.71607068976,211_fac,,$,,211.7,LPSR_DIRECT,1,rollup_from_subaccounts
17,211.7_mat,15241432.48469736,211_mat,,$,,211.7,LPSR_DIRECT,1,rollup_from_subaccounts
18,211.7_lab,27695512.2247466,211_lab,,$,,211.7,LPSR_DIRECT,1,rollup_from_subaccounts
19,211.71_fac,198292.71607068976,211.7_fac,sum_all,$,"ce_211_711_fac, ce_211_712_fac",211.71,LPSR_DIRECT,1,rollup_from_moved_variables
20,211.71_mat,15241432.48469736,211.7_mat,sum_all,$,"ce_211_711_mat, ce_211_712_mat",211.71,LPSR_DIRECT,1,rollup_from_moved_variables
21,211.71_lab,27695512.2247466,211.7_lab,sum_all,$,"ce_211_711_lab, ce_211_712_lab",211.71,LPSR_DIRECT,1,rollup_from_moved_variables
22,212_fac,92973647.76933645,21_fac,,$,,212,LPSR_DIRECT,1,rollup_from_subaccounts
23,212_mat,92928754.37019151,21_mat,,$,,212,LPSR_DIRECT,1,rollup_from_subaccounts
24,212_lab,245204967.0694305,21_lab,,$,,212,LPSR_DIRECT,1,rollup_from_subaccounts
25,212.1_fac,91329747.05645116,212_fac,,$,,212.1,LPSR_DIRECT,1,rollup_from_subaccounts
26,212.1_mat,78240322.48660171,212_mat,,$,,212.1,LPSR_DIRECT,1,rollup_from_subaccounts
27,212.1_lab,230898527.170366,212_lab,,$,,212.1,LPSR_DIRECT,1,rollup_from_subaccounts
28,212.13_fac,0.0,212.1_fac,,$,,212.13,LPSR_DIRECT,1,collapsed_rollup_zero
29,212.13_mat,8064116.039825644,212.1_mat,category_scale,$,"ref_212_13_mat, scale_sub_str_V",212.13,LPSR_DIRECT,1,collapsed_category_scaled
30,212.13_lab,11130198.913088772,212.1_lab,category_scale,$,"ref_212_13_lab, scale_sub_str_V",212.13,LPSR_DIRECT,1,collapsed_category_scaled
31,212.14_fac,3384358.55023979,212.1_fac,sum_all,$,"ce_212_141_fac, ce_212_140_fac, ce_212_142_fac, ce_212_149_fac",212.14,LPSR_DIRECT,1,rollup_from_moved_variables
32,212.14_mat,33647293.27072946,212.1_mat,sum_all,$,"ce_212_141_mat, ce_212_140_mat, ce_212_142_mat, ce_212_149_mat",212.14,LPSR_DIRECT,1,rollup_from_moved_variables
33,212.14_lab,70208165.24507333,212.1_lab,sum_all,$,"ce_212_141_lab, ce_212_140_lab, ce_212_142_lab, ce_212_149_lab",212.14,LPSR_DIRECT,1,rollup_from_moved_variables
34,212.15_fac,87945388.50621137,212.1_fac,category_scale,$,"ref_212_15_fac, scale_sup_str_S, f_ss_cont_fac",212.15,LPSR_DIRECT,1,category_scaled
35,212.15_mat,36528913.1760466,212.1_mat,category_scale,$,"ref_212_15_mat, scale_sup_str_S, f_ss_cont_mat",212.15,LPSR_DIRECT,1,category_scaled
36,212.15_lab,149560163.01220387,212.1_lab,category_scale,$,"ref_212_15_lab, scale_sup_str_S, f_ss_cont_lab",212.15,LPSR_DIRECT,1,category_scaled
37,212.2_fac,1643900.7128852722,212_fac,,$,,212.2,LPSR_DIRECT,1,rollup_from_subaccounts
38,212.2_mat,2469485.147717824,212_mat,,$,,212.2,LPSR_DIRECT,1,rollup_from_subaccounts
39,212.2_lab,8659386.634936525,212_lab,,$,,212.2,LPSR_DIRECT,1,rollup_from_subaccounts
40,212.21_fac,151291.49102764585,212.2_fac,category_scale,$,"ref_212_21_fac, scale_sup_const",212.21,LPSR_DIRECT,1,collapsed_category_scaled
41,212.21_mat,206114.98714819315,212.2_mat,category_scale,$,"ref_212_21_mat, scale_sup_const",212.21,LPSR_DIRECT,1,collapsed_category_scaled
42,212.21_lab,1053843.7893342776,212.2_lab,category_scale,$,"ref_212_21_lab, scale_sup_const",212.21,LPSR_DIRECT,1,collapsed_category_scaled
43,212.22_fac,240144.8684569628,212.2_fac,category_scale,$,"ref_212_22_fac, scale_P",212.22,LPSR_DIRECT,1,collapsed_category_scaled
44,212.22_mat,7208.552067777857,212.2_mat,category_scale,$,"ref_212_22_mat, scale_P",212.22,LPSR_DIRECT,1,collapsed_category_scaled
45,212.22_lab,67456.73381113581,212.2_lab,category_scale,$,"ref_212_22_lab, scale_P",212.22,LPSR_DIRECT,1,collapsed_category_scaled
46,212.23_fac,1054079.7135006634,212.2_fac,category_scale,$,"ref_212_23_fac, scale_P",212.23,LPSR_DIRECT,1,collapsed_category_scaled
47,212.23_mat,895102.7105585907,212.2_mat,category_scale,$,"ref_212_23_mat, scale_P",212.23,LPSR_DIRECT,1,collapsed_category_scaled
48,212.23_lab,3945218.541045286,212.2_lab,category_scale,$,"ref_212_23_lab, scale_P",212.23,LPSR_DIRECT,1,collapsed_category_scaled
49,212.24_fac,0.0,212.2_fac,,$,,212.24,LPSR_DIRECT,1,category_scaled
50,212.24_mat,1351908.0178102625,212.2_mat,category_scale,$,"ref_212_24_mat, scale_sup_const",212.24,LPSR_DIRECT,1,category_scaled
51,212.24_lab,3480752.427645825,212.2_lab,category_scale,$,"ref_212_24_lab, scale_sup_const",212.24,LPSR_DIRECT,1,category_scaled
52,212.25_fac,198384.6399,212.2_fac,category_scale,$,ref_212_25_fac,212.25,LPSR_DIRECT,1,category_scaled
53,212.25_mat,9150.880133,212.2_mat,category_scale,$,ref_212_25_mat,212.25,LPSR_DIRECT,1,category_scaled
54,212.25_lab,112115.1431,212.2_lab,category_scale,$,ref_212_25_lab,212.25,LPSR_DIRECT,1,category_scaled
55,212.3_fac,0.0,212_fac,,$,,212.3,LPSR_DIRECT,1,category_scaled
56,212.3_mat,12218946.735872,212_mat,category_scale,$,"ref_212_3_mat, scale_frm_S",212.3,LPSR_DIRECT,1,category_scaled
57,212.3_lab,5647053.2641280005,212_lab,category_scale,$,"ref_212_3_lab, scale_frm_S",212.3,LPSR_DIRECT,1,category_scaled
58,213_fac,1449086.9027616812,21_fac,,$,,213,LPSR_DIRECT,1,rollup_from_subaccounts
59,213_mat,32880295.11386501,21_mat,,$,,213,LPSR_DIRECT,1,rollup_from_subaccounts
60,213_lab,37311758.8316887,21_lab,,$,,213,LPSR_DIRECT,1,rollup_from_subaccounts
61,213.1_fac,0.0,213_fac,,$,,213.1,LPSR_DIRECT,1,rollup_from_subaccounts
62,213.1_mat,31187978.693863448,213_mat,,$,,213.1,LPSR_DIRECT,1,rollup_from_subaccounts
63,213.1_lab,30638299.12943875,213_lab,,$,,213.1,LPSR_DIRECT,1,rollup_from_subaccounts
64,213.13_fac,0.0,213.1_fac,,$,,213.13,LPSR_DIRECT,1,collapsed_rollup_zero
