ind,var_name,var_description,var_value,var_unit,var_alg,var_need,user_input,v_linked
1,adm_bldg_bldg_vol,Building volume for 219.142,0.0,m^3,,,0,scale_adm_bldg_bldg_vol
2,S,General Yardwork Area for 211.1,23.0,m^2,,,0,scale_S
3,bldg_V,Structural & Miscellaneous Steel Building volume for 213.142,194392.0,m^3,,,0,scale_bldg_V
4,cont_D_D,LPSR A.212.15 containment cylinder/dome diameter D,44.2,m,,,1,sup_str_S
5,cont_hatch_ms_bldg_vol,Building volume for 219.142,0.0,m^3,,,0,scale_cont_hatch_ms_bldg_vol
6,cont_H_H,LPSR A.212.15 containment cylinder height H,45.7,m,,,1,sup_str_S
7,cont_V,Containment Spray System Containment volume for 223.4,86163.9381112316,m^3,,,0,scale_cont_V
8,cr_dg_bldg_bldg_vol,Structural & Miscellaneous Steel Building volume for 218142,2660.0,m^3,,,0,scale_cr_dg_bldg_bldg_vol
9,cr_dg_bldg_sub_S,Roofing & Flashing Substructure S for 218145,380.0,m^2,,,0,scale_cr_dg_bldg_sub_S
10,cr_dg_bldg_sub_vol,Substructure Concrete Substructure volume for 21813,228.0,m^3,,,0,scale_cr_dg_bldg_sub_vol
11,cr_dg_bldg_sup_S,Painting Superstructure S for 218149,546.0,m^2,,,0,scale_cr_dg_bldg_sup_S
12,cr_dg_bldg_sup_vol,Concrete Work Superstructure volume for 218141,163.79999999999998,m^3,,,0,scale_cr_dg_bldg_sup_vol
13,elec_P,"Input unit value for Electric power scale, source account 231.; also used for new_base_turbine_plant_equipment_elec_P",1117.0,MWe,,,0,scale_elec_P
14,elec_tunnel_bldg_vol,Building volume for 219.142,0.0,m^3,,,0,scale_elec_tunnel_bldg_vol
15,frm_flow,Fluid Circulation Drive System Flow rate for 222.11,5000.0,kg/s,,,0,scale_frm_flow
16,frm_fuel_cask_cap,Spent Fuel Cask Crane Fuel cask capacity for 225.114,113.0,tonne,,,0,scale_frm_fuel_cask_cap
17,frm_fuel_crane_cap,New & Spent Fuel Crane Fuel crane capacity for 225.111,2.0,tonne,,,0,scale_frm_fuel_crane_cap
18,frm_ht_S,Steam Generator Equipment HT surface S for 222.13,11477.0,m^2,,,0,scale_frm_ht_S
19,frm_prz_M,Pressurizing System Pressurizer mass for 222.14,106000.0,kg,,,0,scale_frm_prz_M
20,frm_S,Passive cooling pool Surface S for 212.3,1000.0,m^2,,,0,scale_frm_S
21,frm_S_9_71886e_06,Storage Pool Liner - S.S. Surface S for 217.3,480.0,m^2,,,0,scale_frm_S_9_71886e_06
22,frm_vsl_M,Reactor Vessel + Accessory Vessel mass for 221.1,352000.0,kg,,,0,scale_frm_vsl_M
23,fuel_stor_bldg_bldg_vol,Structural & Miscellaneous Steel Building volume for 217.142,18900.0,m^3,,,0,scale_fuel_stor_bldg_bldg_vol
24,fuel_stor_bldg_sub_S,Roofing & Flashing Substructure S for 217.145,700.0,m^2,,,0,scale_fuel_stor_bldg_sub_S
25,fuel_stor_bldg_sub_vol,Substructure Concrete Substructure volume for 217.13,420.0,m^3,,,0,scale_fuel_stor_bldg_sub_vol
26,fuel_stor_bldg_sup_S,Painting Superstructure S for 217.149,2862.0,m^2,,,0,scale_fuel_stor_bldg_sup_S
27,fuel_stor_bldg_sup_vol,Concrete Work Superstructure volume for 217.141,858.6,m^3,,,0,scale_fuel_stor_bldg_sup_vol
28,mc_piping_M,Reactor Coolant Piping System MC piping mass for 222.12,77000.0,kg,,,0,scale_mc_piping_M
29,non_ess_swgr_bldg_bldg_vol,Building volume for 219.142,0.0,m^3,,,0,scale_non_ess_swgr_bldg_bldg_vol
30,n_crs,Reactor Control Devices Number of CRs for 221.2,69.0,,,,0,scale_n_crs
31,pri_aux_bldg_bldg_vol,Structural & Miscellaneous Steel Building volume for 215.142,13357.0,m^3,,,0,scale_pri_aux_bldg_bldg_vol
32,pri_aux_bldg_sub_S,Roofing & Flashing Substructure S for 215.145,703.0,m^2,,,0,scale_pri_aux_bldg_sub_S
33,pri_aux_bldg_sub_vol,Substructure Concrete Substructure volume for 215.13,843.6,m^3,,,0,scale_pri_aux_bldg_sub_vol
