ind,code_of_account,account_description,total_cost,level,supaccount,review_status,prn,alg_name,fun_unit,variables
1,10,Pre-Construction_Costs,24.18611754,0,,Unchanged,0.0046878318104200244,,million,
2,11,Land_and_Land_Rights,1.18611754,1,1,Unchanged,0.00022989715177366762,,million,
3,12,Site_Permits,10.0,1,1,Unchanged,0.0019382324602810245,,million,
4,13,Plant_Licensing,0.0,1,1,Unchanged,0.0,,million,
5,14,Plant_Permits,5.0,1,1,Unchanged,0.0009691162301405122,,million,
6,15,Plant_Studies,5.0,1,1,Unchanged,0.0009691162301405122,,million,
7,16,Plant_Reports,2.0,1,1,Unchanged,0.00038764649205620487,,million,
8,17,Other_Pre-Construction_Costs,1.0,1,1,Unchanged,0.00019382324602810244,,million,
9,19,Contingency_on_Pre-Construction_Costs,0.0,1,1,Unchanged,0.0,,million,
10,20,Capitalized_Direct_Costs_(CDC),1298.175963,0,,Unchanged,0.2516166790643178,Account_C20,million,rollup
11,21,Structures_and_Improvements,112.9457941,1,2,Unchanged,0.021891520437683703,Account_C21,million,rollup
12,211,Site_Preparation/Yard_Work,42.37641442,2,21,Unchanged,0.008213534197916489,Account_C21_1,million,P_egross
13,212,Heat_Island_Building,29.53699334,2,21,Unchanged,0.005724955927069243,Account_C21_2,million,P_egross
14,213,Turbine_Generator_Building,8.538531265,2,21,Unchanged,0.0016549658460947396,Account_C21_3,million,"application, P_egross"
15,214,Heat_Exchanger_Building,5.976971885,2,21,Unchanged,0.0011584760921694063,Account_C21_4,million,P_egross
16,215,Power_Supply_and_Energy_Storage,1.707706253,2,21,Unchanged,0.00033099316921894796,Account_C21_5,million,P_egross
17,216,Reactor_Auxiliaries,0.8538531265,2,21,Unchanged,0.00016549658460947398,Account_C21_6,million,P_egross
18,217,Hot_Cell,14.76849667,2,21,Unchanged,0.0028624779635346214,Account_C21_7,million,P_egross
19,218,Reactor_Services,2.956861753,2,21,Unchanged,0.0005731085430228053,Account_C21_8,million,P_egross
20,219,Service_Water,0.0474362848,2,21,Unchanged,9.194254699449537e-06,Account_C21_9,million,P_egross
21,2110,Fuel_Storage,0.1739330443,2,21,Unchanged,3.3712267237775744e-05,Account_C21_10,million,P_egross
22,2111,Control_Room,0.1423088544,2,21,Unchanged,2.7582764098348607e-05,Account_C21_11,million,P_egross
23,2112,Onsite_AC_Power,0.1264967595,2,21,Unchanged,2.4518012538326203e-05,Account_C21_12,million,P_egross
24,2113,Administration,0.6957321771,2,21,Unchanged,0.00013484906893172064,Account_C21_13,million,P_egross
25,2114,Site_Services,0.252993519,2,21,Unchanged,4.903602507665241e-05,Account_C21_14,million,P_egross
26,2115,Cryogenics,0.3794902784,2,21,Unchanged,7.35540375955963e-05,Account_C21_15,million,P_egross
27,2116,Security,0.1423088544,2,21,Unchanged,2.7582764098348607e-05,Account_C21_16,million,P_egross
28,2117,Ventilation_Stack,4.269265632,2,21,Unchanged,0.0008274829229504582,Account_C21_17,million,P_egross
29,22,Heat_Island_Plant_Equipment,1111.99892,1,2,Unchanged,0.21553124025414422,Account_C22,million,rollup
30,221,Heat_Island_Components,901.9675668,2,22,Unchanged,0.17482228160924532,Account_C22_1,million,rollup
31,2211,First_Wall_and_Blanket,43.19343421,3,221,Unchanged,0.008371891625683487,Account_C22_1_1,million,"L_CC, L_EP"
32,2212,Magnet_Radiation_Shield,94.73695574,3,221,Unchanged,0.01836222428034747,Account_C22_1_2,million,
33,2213,Coils,272.0399768,3,221,Unchanged,0.05272767135278568,Account_C22_1_3,million,rollup
34,22131,HF_Coils,116.4,4,2213,Unchanged,0.022561025837671125,Account_C22_1_3_1,million,HF_magnet_number
35,22132,LF_Coils,12.50524,4,2213,Unchanged,0.0024238062091604677,Account_C22_1_3_2,million,LF_magnet_number
36,22133,CC_Coils,143.1347368,4,2213,Unchanged,0.02774283930595409,Account_C22_1_3_3,million,
37,2214,Supplemental_Heating,227.453,3,221,Unchanged,0.04408567877882998,Account_C22_1_4,million,rollup
38,22141,NBI,105.963,4,2214,Unchanged,0.02053809261887582,Account_C22_1_4_1,million,"P_NBI, n_unit"
39,22142,ICRH,41.49,4,2214,Unchanged,0.008041726477705971,Account_C22_1_4_2,million,"P_ICRH, n_unit"
40,22143,ECH,80.0,4,2214,Unchanged,0.015505859682248196,Account_C22_1_4_3,million,"P_ECH, n_unit"
41,2215,Primary_Structure_and_Support,0.0,3,221,Unchanged,0.0,Account_C22_1_5,million,
42,2216,Vacuum_System,2.031827257,3,221,Unchanged,0.00039381535432011556,Account_C22_1_6,million,rollup
43,22162,Vessel_Refrigerators,0.0,4,2216,Unchanged,0.0,Account_C22_1_6_2,million,
44,22163,Primary_Vacuum_Pumps,1.689827257,4,2216,Unchanged,0.0003275278041785045,Account_C22_1_6_3,million,V_vac
45,22164,Backing_Vacuum_Pumps,0.342,4,2216,Unchanged,6.628755014161104e-05,Account_C22_1_6_4,million,
46,2217,Power_Supplies,0.0,3,221,Unchanged,0.0,Account_C22_1_7,million,
47,2218,Divertor,0.0,3,221,Unchanged,0.0,Account_C22_1_8,million,
48,2219,Direct_Energy_Convertor,109.3171648,3,221,Unchanged,0.02118820772812502,Account_C22_1_9,million,"P_DECe, n_unit"
49,22111,Assembly_and_Installation_Costs,153.1952079,3,221,Unchanged,0.029692792471128007,Account_C22_1_11,million,"construction_time, N_module, L, n_unit"
50,222,Main_and_Secondary_Coolant,33.6494515,2,22,Unchanged,0.0065220459167952,Account_C22_2,million,rollup
51,223,Auxiliary_Cooling_Systems,0.3521982635,2,22,Unchanged,6.826421067703095e-05,Account_C22_3,million,"N_module, P_th"
52,224,Radioactive_Waste_Treatment,0.6275532695,2,22,Unchanged,0.00012163441175003857,Account_C22_4,million,P_th
53,225,Fuel_Handling_and_Storage,88.65405229,2,22,Unchanged,0.017183216188392927,Account_C22_5,million,n_unit
54,226,Other_Heat_Island_Equipment,1.748097852,2,22,Unchanged,0.0003388220000493934,Account_C22_6,million,P_enet
55,227,Instrumentation_and_Control,85.0,2,22,Unchanged,0.01647497591238871,Account_C22_7,million,
56,23,Turbine_Plant_Equipment,39.82276109,1,2,Unchanged,0.007718576820265415,Account_C23,million,"P_egross, N_module"
57,24,Electric_Plant_Equipment,9.819310954,1,2,Unchanged,0.0019032107228635835,Account_C24,million,"P_egross, N_module"
58,25,Miscellaneous_Plant_Equipment,6.909885486,1,2,Unchanged,0.0013392964345789922,Account_C25,million,"P_egross, N_module"
59,26,Heat_Rejection,11.67929132,1,2,Unchanged,0.0022637181549502415,Account_C26,million,"P_enet, N_module"
60,27,Special_Materials,0.0,1,2,Unchanged,0.0,Account_C27,million,
61,28,Digital_Twin/Simulator,5.0,1,2,Unchanged,0.0009691162301405122,Account_C28,million,
62,29,Contingency_on_Direct_Capital_Costs,0.0,1,2,Unchanged,0.0,Account_C29,million,rollup
63,30,Capitalized_Indirect_Service_Costs_(CISC),71.59197058,0,,Unchanged,0.013876188127364011,,million,
64,31,Field_Indirect_Costs,14.31839412,1,3,Unchanged,0.0027752376262480953,,million,
65,32,Construction_Supervision,35.79598529,1,3,Unchanged,0.0069380940636820055,,million,
66,33,Commissioning_and_Start-Up_Costs,0.0,1,3,Unchanged,0.0,,million,
67,34,Demonstration_Test_Run,0.0,1,3,Unchanged,0.0,,million,
68,35,Design_Services_Offsite,21.47759117,1,3,Unchanged,0.004162856437433911,,million,
69,36,PM/CM_Services_Offsite,0.0,1,3,Unchanged,0.0,,million,
70,37,Design_Servies_Offsite,0.0,1,3,Unchanged,0.0,,million,
71,38,PM/CM_Services_Onsite,0.0,1,3,Unchanged,0.0,,million,
72,39,Contingency_on_Support_Services,0.0,1,3,Unchanged,0.0,,million,
73,40,Capitalized_Owner's_Cost_(COC),155.7811156,0,,Unchanged,0.030194001495471065,,million,
