ind,alg_name,alg_for,alg_description,alg_python,alg_formulation,alg_units
7,Account_C21_1,c,Account C211 Rollup,MirrorFunc,P_egross,million
8,Account_C21_2,c,Account C212 Rollup,MirrorFunc,P_egross,million
9,Account_C21_3,c,Account C213 Rollup,MirrorFunc,"application, P_egross",million
10,Account_C21_4,c,Account C214 Rollup,MirrorFunc,P_egross,million
11,Account_C21_5,c,Account C215 Rollup,MirrorFunc,P_egross,million
12,Account_C21_6,c,Account C216 Rollup,MirrorFunc,P_egross,million
13,Account_C21_7,c,Account C217 Rollup,MirrorFunc,P_egross,million
14,Account_C21_8,c,Account C218 Rollup,MirrorFunc,P_egross,million
15,Account_C21_9,c,Account C219 Rollup,MirrorFunc,P_egross,million
16,Account_C21_10,c,Account C2110 Rollup,MirrorFunc,P_egross,million
17,Account_C21_11,c,Account C2111 Rollup,MirrorFunc,P_egross,million
18,Account_C21_12,c,Account C2112 Rollup,MirrorFunc,P_egross,million
19,Account_C21_13,c,Account C2113 Rollup,MirrorFunc,P_egross,million
20,Account_C21_14,c,Account C2114 Rollup,MirrorFunc,P_egross,million
21,Account_C21_15,c,Account C2115 Rollup,MirrorFunc,P_egross,million
22,Account_C21_16,c,Account C2116 Rollup,MirrorFunc,P_egross,million
23,Account_C21_17,c,Account C2117 Rollup,MirrorFunc,P_egross,million
26,Account_C22_1_1,c,Account C2211 Rollup,MirrorFunc,"central_cell_cylindrical_part_cost, end_plug_cylindrical_part_cost, expander_cell_cost_result",million
27,Account_C22_1_2,c,Account C2212 Rollup,MirrorFunc,HF_magnet_shield_cost,million
29,Account_C22_1_3_1,c,Account C22131 Rollup,MirrorFunc,"HF_magnet_number, HF_magnet_cost",million
30,Account_C22_1_3_2,c,Account C22132 Rollup,MirrorFunc,"LF_magnet_number, LF_magnet_cost",million
31,Account_C22_1_3_3,c,Account C22133 Rollup,MirrorFunc,"CF_magnet_number, CF_magnet_cost",million
33,Account_C22_1_4_1,c,Account C22141 Rollup,MirrorFunc,"P_NBI, cost_factor",million
34,Account_C22_1_4_2,c,Account C22142 Rollup,MirrorFunc,"P_ICRH, cost_factor",million
35,Account_C22_1_4_3,c,Account C22143 Rollup,MirrorFunc,"P_ECH, cost_factor",million
36,Account_C22_1_5,c,Account C2215 Rollup,MirrorFunc,reference value,million
38,Account_C22_1_6_2,c,Account C22162 Rollup,MirrorFunc,reference value,million
39,Account_C22_1_6_3,c,Account C22163 Rollup,MirrorFunc,"no_vpumps, cost_pump",million
40,Account_C22_1_6_4,c,Account C22164 Rollup,MirrorFunc,reference value,million
41,Account_C22_1_7,c,Account C2217 Rollup,MirrorFunc,reference value,million
42,Account_C22_1_8,c,Account C2218 Rollup,MirrorFunc,reference value,million
43,Account_C22_1_9,c,Account C2219 Rollup,MirrorFunc,"P_DECe, cost_factor",million
44,Account_C22_1_11,c,Account C22111 Rollup,MirrorFunc,"L, N_module, construction_time, cost_factor",million
49,Account_C22_3,c,Account C223 Rollup,MirrorFunc,"N_module, P_th",million
50,Account_C22_4,c,Account C224 Rollup,MirrorFunc,P_th,million
51,Account_C22_5,c,Account C225 Rollup,MirrorFunc,cost_factor,million
52,Account_C22_6,c,Account C226 Rollup,MirrorFunc,P_enet,million
53,Account_C22_7,c,Account C227 Rollup,MirrorFunc,reference value,million
54,Account_C23,c,Account C23 Rollup,MirrorFunc,"N_module, P_egross",million
55,Account_C24,c,Account C24 Rollup,MirrorFunc,"N_module, P_egross",million
56,Account_C25,c,Account C25 Rollup,MirrorFunc,"N_module, P_egross",million
57,Account_C26,c,Account C26 Rollup,MirrorFunc,"N_module, P_enet",million
58,Account_C27,c,Account C27 Rollup,MirrorFunc,reference value,million
59,Account_C28,c,Account C28 Rollup,MirrorFunc,reference value,million
81,cal_P_f_CC,v,Mirror generated variable calculation for P_f_CC,MirrorFunc,P_f_CC = P_f - 2 * P_f_EP,MW
82,cal_L_CC,v,Mirror generated variable calculation for L_CC,MirrorFunc,L_CC = P_f_CC / P_f_L,m
83,cal_L_CF,v,Mirror generated variable calculation for L_CF,MirrorFunc,L_CF = 1.0,m
84,cal_L,v,Mirror generated variable calculation for L,MirrorFunc,L = L_CC + 2 * L_EP + 2 * L_EC,m
85,cal_V_vac,v,Mirror generated variable calculation for V_vac,MirrorFunc,V_vac = L * pi * a_EC**2,m3
86,cal_no_vpumps,v,Mirror generated variable calculation for no_vpumps,MirrorFunc,no_vpumps = V_vac / vpump_cap,1
87,cal_cost_factor,v,Mirror generated variable calculation for cost_factor,MirrorFunc,cost_factor = 0.80 ** (log(n_unit) / log(2)),1
