var_name,default_value,var_unit
HF_magnet_number,4,1
LF_magnet_number,2,1
LSA,2,1
L_EC,1,m
L_EP,1,m
M_n,1.1,1
NOAK,0,1
N_module,1,1
P_ECH,1,MW
P_ICRH,1,MW
P_NBI,1,MW
P_aux,1,MW
P_coils,0,MW
P_cryo,1,MW
P_f,1,MW
P_f_EP,1,MW
P_f_L,1,MW/m
P_pfcool,0,MW
P_pump,1,MW
P_sub_cont,1,MW
P_thcool,0,MW
a_CC,1,m
a_EC,1,m
a_EP,1,m
application,heat,1
availability,0.9,1
blanket_coolant_fraction,0.9,1
blanket_coolant_material,Natural PbLi,1
blanket_structural_fraction,0.1,1
blanket_structural_material,SS316,1
blanket_thickness,1.0,m
construction_time,6,years
cost_file,woodruff-data.csv,1
discount,0.0245,1
eta_DEC,0.9,1
eta_ECH,0.5,1
eta_ICRH,0.5,1
eta_NBI,0.5,1
eta_pump,0.98,1
eta_th,0.5,1
expander_cell_vessel_material,SS316,1
expander_cell_vessel_thickness,0.01,m
f_cryo,0.01,1
f_pump,0.03,1
f_sub,0.04,1
filename,,1
first_wall_material,W,1
first_wall_thickness,0.01,m
hf_magnet_length,1,m
hf_magnet_shielding_thickness,1,m
include_contingency,0,1
include_decommissioning,0,1
include_licensing,0,1
include_tax,0,1
lifetime,30,years
method,new,1
multiplier_material,Pb,1
multiplier_thickness,0.01,m
n_unit,0,1
outer_vessel_thickness,0.01,m
replacement,10,years
run_name,,1
vacuum_gap_CC,0.01,m
vacuum_vessel_material,SS316,1
vacuum_vessel_thickness,0.01,m
