ind,var_name,var_description,var_value,var_unit,var_alg,var_need,v_linked,user_input
1,E_DT,str,,TODO,,TODO,TODO,
2,E_alpha,str,,TODO,,TODO,TODO,
3,E_n,str,,TODO,"E_DT, E_alpha",TODO,TODO,
4,m_T,str,,TODO,,TODO,TODO,
5,m_D,str,,TODO,,TODO,TODO,
6,m_6Li,str,,TODO,,TODO,TODO,
7,Wh_to_BTU,float,3.41214,TODO,,TODO,TODO,
8,indentation,INTEGER,0.0,TODO,,TODO,TODO,
9,indented_name,str,,TODO,"account_name, account_number, indentation",TODO,TODO,
10,inputs,str,,TODO,"NOAK, P_ECH, P_ICRH, P_NBI, P_f, P_f_L, application, availability, blanket_coolant_fraction, blanket_coolant_material, blanket_structural_fraction, blanket_structural_material, blanket_thickness, construction_time, cost_file, discount, first_wall_material, first_wall_thickness, generate_inputs, include_contingency, include_decommissioning, include_licensing, include_tax, kwargs, lifetime, method, multiplier_material, multiplier_thickness, n_unit, outer_vessel_thickness, replacement, save, vacuum_gap_CC, vacuum_vessel_material, vacuum_vessel_thickness",TODO,TODO,
11,cost_data,str,,TODO,cost_account,TODO,TODO,
12,L_magnet_to_magnet,str,,TODO,inputs,TODO,TODO,
13,L_cylinder,str,,TODO,L_magnet_to_magnet,TODO,TODO,
14,expander_cell_cost_result,str,,TODO,"expander_cell_cost, inputs",TODO,TODO,
15,end_plug_cylindrical_part,str,,TODO,"L_cylinder, central_cell, inputs",TODO,TODO,
16,end_plug_cylindrical_part_cost,str,,TODO,end_plug_cylindrical_part,TODO,TODO,
17,central_cell_cylindrical_part,str,,TODO,"central_cell, inputs",TODO,TODO,
18,central_cell_cylindrical_part_cost,str,,TODO,central_cell_cylindrical_part,TODO,TODO,
19,total_cost,str,,TODO,"central_cell_cylindrical_part_cost, end_plug_cylindrical_part_cost, expander_cell_cost_result",TODO,TODO,
20,cost_factor,str,,TODO,"inputs, np",TODO,TODO,
21,cost_pump,INTEGER,40000.0,TODO,,TODO,TODO,
22,vpump_cap,str,,TODO,,TODO,TODO,
23,no_vpumps,str,,TODO,"inputs, vpump_cap",TODO,TODO,
24,axis_t,str,,TODO,"inputs, np",TODO,TODO,
25,axis_ir,str,,TODO,axis_t,TODO,TODO,
26,lr,str,,TODO,,TODO,TODO,
27,constructionworker,str,,TODO,axis_ir,TODO,TODO,
28,C_22_1_11_in,str,,TODO,"inputs, lr",TODO,TODO,
29,C_22_1_11_1_in,str,,TODO,"constructionworker, inputs, lr",TODO,TODO,
30,C_22_1_11_2_in,str,,TODO,"constructionworker, inputs, lr",TODO,TODO,
31,C_22_1_11_3_in,str,,TODO,"constructionworker, inputs, lr",TODO,TODO,
32,C_22_1_11_4_in,str,,TODO,"constructionworker, inputs, lr",TODO,TODO,
33,C_22_1_11_5_in,str,,TODO,"constructionworker, inputs, lr",TODO,TODO,
34,C_22_1_11_6_in,str,,TODO,"constructionworker, inputs, lr",TODO,TODO,
35,C_22_1_11_7_in,str,,TODO,"constructionworker, inputs, lr",TODO,TODO,
36,C_22_1_11_8_in,INTEGER,0.0,TODO,,TODO,TODO,
37,C_22_1_11_9_in,str,,TODO,"constructionworker, inputs, lr",TODO,TODO,
38,C_22_1_11_10_in,INTEGER,0.0,TODO,,TODO,TODO,
39,C220111,str,,TODO,"C_22_1_11_10_in, C_22_1_11_1_in, C_22_1_11_2_in, C_22_1_11_3_in, C_22_1_11_4_in, C_22_1_11_5_in, C_22_1_11_6_in, C_22_1_11_7_in, C_22_1_11_8_in, C_22_1_11_9_in, C_22_1_11_in",TODO,TODO,
40,inflation,float,1.43,TODO,,TODO,TODO,
41,C2205010ITER,str,,TODO,inflation,TODO,TODO,
42,C2205020ITER,str,,TODO,inflation,TODO,TODO,
43,C2205030ITER,str,,TODO,inflation,TODO,TODO,
44,C2205040ITER,str,,TODO,inflation,TODO,TODO,
45,C2205050ITER,str,,TODO,inflation,TODO,TODO,
46,C2205060ITER,str,,TODO,inflation,TODO,TODO,
47,lcredit,float,0.8,TODO,,TODO,TODO,
48,ltoak,str,,TODO,"lcredit, np",TODO,TODO,
49,C220501,str,,TODO,"C2205010ITER, ltoak",TODO,TODO,
50,C220502,str,,TODO,"C2205020ITER, ltoak",TODO,TODO,
51,C220503,str,,TODO,"C2205030ITER, ltoak",TODO,TODO,
52,C220504,str,,TODO,"C2205040ITER, ltoak",TODO,TODO,
53,C220505,str,,TODO,"C2205050ITER, ltoak",TODO,TODO,
54,C220506,str,,TODO,"C2205060ITER, ltoak",TODO,TODO,
55,C220500,str,,TODO,"C220501, C220502, C220503, C220504, C220505, C220506",TODO,TODO,
56,f_cr,float,0.09,TODO,,TODO,TODO,
57,f_6Li_natural,float,0.075,TODO,,TODO,TODO,
58,rho_6Li,float,460.0,TODO,,TODO,TODO,
59,rho_7Li,float,537.0,TODO,,TODO,TODO,
60,T_K,str,,TODO,T,TODO,TODO,
61,rho_PbLi,str,,TODO,T_K,TODO,TODO,
62,P_6Li075,float,15.152,TODO,,TODO,TODO,
63,P_6Li90,INTEGER,70.0,TODO,,TODO,TODO,
64,f,list,"(0.9, 0.99, 0.999, 0.9999, 0.99999)",TODO,,TODO,TODO,
65,Cf,list,"(1, 2, 4, 8, 16)",TODO,,TODO,TODO,
66,f_interp,str,,TODO,"Cf, f, scipy",TODO,TODO,
67,f_Li,float,0.17,TODO,,TODO,TODO,
68,f_Pb,str,,TODO,f_Li,TODO,TODO,
69,P_Li,str,,TODO,"Li_price, f_6Li",TODO,TODO,
70,P_PbLi,str,,TODO,"P_Li, P_Pb, f_Li, f_Pb",TODO,TODO,
71,P_f_CC,str,,TODO,"P_f, P_f_EP",TODO,TODO,
72,L_CC,str,,TODO,"P_f_CC, P_f_L",TODO,TODO,
73,L_CF,float,1.0,TODO,,TODO,TODO,
74,L,str,,TODO,"L_CC, L_EC, L_EP",TODO,TODO,
75,V_vac,str,,TODO,"L, a_EC, np",TODO,TODO,
76,P_alpha,str,,TODO,"E_DT, E_alpha, P_f",TODO,TODO,
77,P_n,str,,TODO,"P_alpha, P_f",TODO,TODO,
78,P_ine,str,,TODO,"P_ECH, P_ICRH, P_NBI, eta_ECH, eta_ICRH, eta_NBI",TODO,TODO,
79,P_pump,str,,TODO,"M_n, P_n, f_pump",TODO,TODO,
80,P_sub_cont,str,,TODO,"P_f, f_sub",TODO,TODO,
81,P_cryo,str,,TODO,"P_f, f_cryo",TODO,TODO,
82,P_other,str,,TODO,"P_cryo, P_pump, P_sub_cont",TODO,TODO,
83,P_in,str,,TODO,"P_ECH, P_ICRH, P_NBI",TODO,TODO,
84,P_th,str,,TODO,"M_n, P_n, P_pump, eta_pump",TODO,TODO,
85,P_the,str,,TODO,"P_th, eta_th",TODO,TODO,
86,P_DEC,str,,TODO,"P_alpha, P_in",TODO,TODO,
87,P_DECe,str,,TODO,"P_DEC, eta_DEC",TODO,TODO,
88,P_egross,str,,TODO,"P_DECe, P_the",TODO,TODO,
89,P_enet,str,,TODO,"P_egross, P_ine, P_other",TODO,TODO,
90,f_aux,str,,TODO,"P_aux, P_egross",TODO,TODO,
91,Q_sci,str,,TODO,"P_f, P_in",TODO,TODO,
92,Q_eng,str,,TODO,"P_egross, P_ine, P_other",TODO,TODO,
93,f_refrac,str,,TODO,Q_eng,TODO,TODO,
94,run_name,str,,TODO,"P_f, float",TODO,TODO,
95,cost_file_full,str,,TODO,"cost_file, pkg_resources",TODO,TODO,
96,new_data,str,,TODO,"f_vol, material, name, pd, thickness",TODO,TODO,
97,r_in,str,,TODO,data,TODO,TODO,
98,r_out,str,,TODO,data,TODO,TODO,
99,radial_build,str,,TODO,"create_radial_build, inputs",TODO,TODO,
100,filename,str,,TODO,inputs,TODO,TODO,
101,T,INTEGER,300.0,TODO,,TODO,TODO,
102,material,str,,TODO,"i, radial_build",TODO,TODO,
103,f_6Li,float,0.075,TODO,,TODO,TODO,
104,radius,str,,TODO,inputs,TODO,TODO,
105,thickness,str,,TODO,inputs,TODO,TODO,
106,vv_material,str,,TODO,inputs,TODO,TODO,
107,V_end_cap,str,,TODO,"np, radius, thickness",TODO,TODO,
108,M_end_cap,str,,TODO,"V_end_cap, cost_data, vv_material",TODO,TODO,
109,C_end_cap,str,,TODO,"M_end_cap, cost_data, vv_material",TODO,TODO,
110,total,str,,TODO,"C_end_cap, radial_build",TODO,TODO,
111,cost,float,29.1,TODO,,TODO,TODO,
112,a_M,float,0.15,TODO,,TODO,TODO,
113,a_CC,float,0.54,TODO,,TODO,TODO,
114,a_0,float,0.7,TODO,,TODO,TODO,
115,length,float,0.5,TODO,,TODO,TODO,
116,r_gap,float,0.1,TODO,,TODO,TODO,
117,r_vv,float,0.01,TODO,,TODO,TODO,
118,r_magnet,float,1.5,m,,TODO,TODO,
119,r_cryostat,float,1.0,TODO,,TODO,TODO,
120,f_vol,float,0.9,TODO,,TODO,TODO,
121,V_radially_inner_cylinder,str,,TODO,"V_cylindrical_shell, f_vol, length, r_in, r_out",TODO,TODO,
122,length_cc_cylinder,float,0.5,TODO,,TODO,TODO,
