ind,variable,ce
1,c_213_fac,213_fac
2,c_213_lab,213_lab
3,c_213_mat,213_mat
4,c_220A.2121_ss_weight,220A.2121_fac
5,c_220A.2122_ss_weight,220A.2122_fac
6,c_220A.222_ss_weight,220A.222_fac
7,c_222_fac,222_fac
8,c_222_lab,222_lab
9,c_222_mat,222_mat
10,c_222.11_fac,222.11_fac
11,c_222.11_lab,222.11_lab
12,c_222.11_mat,222.11_mat
13,c_222.12_fac,222.12_fac
14,c_222.12_lab,222.12_lab
15,c_222.12_mat,222.12_mat
16,c_222.13_fac,222.13_fac
17,c_222.14_fac,222.14_fac
18,c_222.14_lab,222.14_lab
19,c_222.14_mat,222.14_mat
20,c_231_fac,235_fac
21,c_231_fac,231_lab
22,c_231_fac,231_mat
23,c_231_lab,235_lab
24,c_231_mat,235_mat
25,c_233_fac,233_fac
26,c_233_lab,233_lab
27,c_233_mat,233_mat
28,c_241_fac,241_fac
29,c_241_lab,241_lab
30,c_241_mat,241_mat
31,c_242_fac,242_fac
32,c_242_lab,242_lab
33,c_242_mat,242_mat
34,c_245_fac,245_fac
35,c_245_lab,245_lab
36,c_245_mat,245_mat
37,c_246_fac,246_fac
38,c_246_lab,246_lab
39,c_246_mat,246_mat
40,c_262_fac,262_fac
41,c_262_lab,262_lab
42,c_262_mat,262_mat
43,c_cr_per_unit_fac,220A.2131_fac
44,c_crd_per_unit_fac,220A.2132_fac
45,c_pump_per_unit_fac,220A.221_fac
46,c_turbine,231_fac
47,c_zero,220A.2121_fac
48,c_zero,220A.2122_fac
49,c_zero,220A.222_fac
50,escalate_1987,211_fac
51,escalate_1987,224_fac
52,escalate_1987,227_fac
53,escalate_1987,252_fac
54,escalate_1987,211_lab
55,escalate_1987,224_lab
56,escalate_1987,227_lab
57,escalate_1987,252_lab
58,escalate_1987,211_mat
59,escalate_1987,224_mat
60,escalate_1987,227_mat
61,escalate_1987,252_mat
62,mwe,241_fac
63,mwe,242_fac
64,mwe,245_fac
65,mwe,246_fac
66,mwe,241_lab
67,mwe,242_lab
68,mwe,245_lab
69,mwe,246_lab
70,mwe,241_mat
71,mwe,242_mat
72,mwe,245_mat
73,mwe,246_mat
74,mwreth,233_fac
75,mwreth,262_fac
76,mwreth,233_lab
77,mwreth,262_lab
78,mwreth,233_mat
79,mwreth,262_mat
80,mwth,213_fac
81,mwth,220A.224_fac
82,mwth,222.11_fac
83,mwth,222.12_fac
84,mwth,222.13_fac
85,mwth,222.14_fac
86,mwth,222_fac
87,mwth,226.4_fac
88,mwth,213_lab
89,mwth,222.11_lab
90,mwth,222.12_lab
91,mwth,222.13_lab
92,mwth,222.14_lab
93,mwth,222_lab
94,mwth,213_mat
95,mwth,222.11_mat
96,mwth,222.12_mat
97,mwth,222.13_mat
98,mwth,222.14_mat
99,mwth,222_mat
100,no_of_cr,220A.2131_fac
101,no_of_crd,220A.2132_fac
102,no_of_rcpump,220A.221_fac
103,prn_235_of_231_fac,235_fac
104,prn_235_of_231_lab,235_lab
105,prn_235_of_231_mat,235_mat
106,prn_fac_231_lab,231_lab
107,prn_fac_231_mat,231_mat
108,r_222.13_lab,222.13_lab
109,r_222.13_mat,222.13_mat
110,r_78_220A224_fac,220A.224_fac
111,r_78_226.4_fac,226.4_fac
112,ref_211_fac,211_fac
113,ref_211_lab,211_lab
114,ref_211_mat,211_mat
115,ref_224_fac,224_fac
116,ref_224_lab,224_lab
117,ref_224_mat,224_mat
118,ref_227_fac,227_fac
119,ref_227_lab,227_lab
120,ref_227_mat,227_mat
121,ref_252_fac,252_fac
122,ref_252_lab,252_lab
123,ref_252_mat,252_mat
124,scale_0.4,241_fac
125,scale_0.4,242_fac
126,scale_0.4,245_fac
127,scale_0.4,246_fac
128,scale_0.4,241_lab
129,scale_0.4,242_lab
130,scale_0.4,245_lab
131,scale_0.4,246_lab
132,scale_0.4,241_mat
133,scale_0.4,242_mat
134,scale_0.4,245_mat
135,scale_0.4,246_mat
136,scale_0.8,213_fac
137,scale_0.8,233_fac
138,scale_0.8,262_fac
139,scale_0.8,213_lab
140,scale_0.8,233_lab
141,scale_0.8,262_lab
142,scale_0.8,213_mat
143,scale_0.8,233_mat
144,scale_0.8,262_mat
145,scale_1.0,220A.224_fac
146,scale_1.0,222.11_fac
147,scale_1.0,222.12_fac
148,scale_1.0,222.13_fac
149,scale_1.0,222.14_fac
150,scale_1.0,222_fac
151,scale_1.0,226.4_fac
152,scale_1.0,231_fac
153,scale_1.0,222.11_lab
154,scale_1.0,222.12_lab
155,scale_1.0,222.13_lab
156,scale_1.0,222.14_lab
157,scale_1.0,222_lab
158,scale_1.0,222.11_mat
159,scale_1.0,222.12_mat
160,scale_1.0,222.13_mat
161,scale_1.0,222.14_mat
162,scale_1.0,222_mat
163,scale_tur_231_fac,231_fac
164,Tot_Labor_containment,212_lab
165,Tot_Mat_containment,212_mat
