ind,code_of_account,account_description,total_cost,level,supaccount,review_status,prn
1,2,"TOTAL DIRECT COST",2579172917,0,,Unchanged,1
2,21,"Structures and improvements subtotal",569959917,1,2,Unchanged,0.221920381
3,211,Yardwork,71213900,2,21,Unchanged,0.027628952
4,212,"Reactor containment building",182702257,2,21,Unchanged,0.071675377
5,213,"Turbine room and heater bay",65970400,2,21,Unchanged,0.025594624
6,214,"Security building",3880760,2,21,Unchanged,0.001505624
7,215,"Primary auxiliary building and tunnels",52634700,2,21,Unchanged,0.020420755
8,216,"Waste processing building",40938300,2,21,Unchanged,0.015882887
9,217,"Fuel storage building",28149600,2,21,Unchanged,0.010921238
10,218,"Other structures",124470000,2,21,Unchanged,0.048290792
11,218A,"Control Room/Diesel Generator Building",51570400,3,218,Unchanged,0.020007837
12,218B,"Administration + Services Building",18938200,3,218,Unchanged,0.007347479
13,218D,"Fire Pump House, Including Foundations",1216200,3,218,Unchanged,0.000471851
14,218E,"Emergency Feed Pump Building",7119140,3,218,Unchanged,0.002762022
15,218F,"Manway Tnls. (Radiological Ctrl Access Tunnels)",2170960,3,218,Unchanged,0.00084227
16,218G,"Elec. Tunnels",193104,3,218,Unchanged,0.0000749188
17,218H,"Non- Essen. Switchgear Bldg.",1526990,3,218,Unchanged,0.000592428
18,218J,"Main Steam + Feedwater Pipe Enc.",22416800,3,218,Unchanged,0.008697076
19,218K,"Pipe Tunnels",904119,3,218,Unchanged,0.000350772
20,218L,"Technical Support Center",2249450,3,218,Unchanged,0.000872722
21,218P,"Containment Equipment Hatch Missile Shield",626665,3,218,Unchanged,0.000243128
22,218S,"Waste Water Treatment",2186330,3,218,Unchanged,0.000848233
23,218T,"Ultimate Heat Sink Structures",13097500,3,218,Unchanged,0.005081455
24,218V,"Control Rm Emergency Air Intake Building",253976,3,218,Unchanged,0.0000985354
25,22,"Reactor plant equipment",867215000,1,2,Unchanged,0.336454563
26,220A,"Nuclear steam supply (NSSS)",514720000,2,22,Unchanged,0.199696606
27,220A.211,"Vessel Structure (NSSS)",70000000,3,220A,Unchanged,0.027157994
28,220A.2121,"Lower Internals (NSSS)",31780000,3,220A,Unchanged,0.012329729
29,220A.2122,"Upper Internals (NSSS)",31780000,3,220A,Unchanged,0.012329729
30,220A.2131,"Control Rods (NSSS)",3100000,3,220A,Unchanged,0.001202711
31,220A.2132,"Control Rod Drives (NSSS)",34900000,3,220A,Unchanged,0.0135402
32,220A.221,"Main Coolant Pumps (NSSS)",125240000,3,220A,Unchanged,0.04858953
33,220A.222,"Reactor Coolant Piping (NSSS)",11400000,3,220A,Unchanged,0.004422873
