ind,cost_element,cost_2017,sup_cost_ele,alg_name,fun_unit,variables,account,algno,updated
1,211_fac,810015,21_fac,esc_1987,million,"escalate_1987, ref_211_fac",211,12,0
2,212_fac,0,21_fac,NO_ALG,million,N/A,212,N/A,0
3,213_fac,1770660,21_fac,MWth_scale,million,"c_213_fac, mwth, scale_0.8",213,8,0
4,214_fac,147944,21_fac,NO_ALG,million,N/A,214,N/A,0
5,215_fac,8953480,21_fac,NO_ALG,million,N/A,215,N/A,0
6,216_fac,1855240,21_fac,NO_ALG,million,N/A,216,N/A,0
7,217_fac,2842400,21_fac,NO_ALG,million,N/A,217,N/A,0
8,218A_fac,4171000,218_fac,NO_ALG,million,N/A,218A,N/A,0
9,218B_fac,2337580,218_fac,complex,million,c_218B_fac,218B,23,0
10,218D_fac,112407,218_fac,NO_ALG,million,N/A,218D,N/A,0
11,218E_fac,63607,218_fac,NO_ALG,million,N/A,218E,N/A,0
12,218F_fac,0,218_fac,NO_ALG,million,N/A,218F,N/A,0
13,218G_fac,27448,218_fac,NO_ALG,million,N/A,218G,N/A,0
14,218H_fac,54566,218_fac,NO_ALG,million,N/A,218H,N/A,0
15,218J_fac,94629,218_fac,complex,million,c_218J_fac,218J,23,0
16,218K_fac,0,218_fac,NO_ALG,million,N/A,218K,N/A,0
17,218L_fac,147944,218_fac,NO_ALG,million,N/A,218L,N/A,0
18,218P_fac,0,218_fac,NO_ALG,million,N/A,218P,N/A,0
19,218S_fac,23670,218_fac,NO_ALG,million,N/A,218S,N/A,0
20,218T_fac,121724,218_fac,complex,million,c_218T_fac,218T,23,0
21,218V_fac,0,218_fac,NO_ALG,million,N/A,218V,N/A,0
22,218_fac,7154570,21_fac,NO_ALG,million,N/A,218,N/A,0
23,21_fac,64195200,2_fac,NO_ALG,million,N/A,21,N/A,0
24,220A.211_fac,70000000,220A_fac,unit_weights,million,"c_221.12_cs_weight, c_221.12_ss_weight",220A.211,5,0
25,220A.2121_fac,31780000,220A_fac,unit_weights,million,"c_zero, c_220A.2121_ss_weight",220A.2121,5,0
26,220A.2122_fac,31780000,220A_fac,unit_weights,million,"c_zero, c_220A.2122_ss_weight",220A.2122,5,0
27,220A.2131_fac,3100000,220A_fac,unit_facility,million,"no_of_cr, c_cr_per_unit_fac",220A.2131,16,0
28,220A.2132_fac,34900000,220A_fac,unit_facility,million,"no_of_crd, c_crd_per_unit_fac",220A.2132,16,0
29,220A.221_fac,125240000,220A_fac,unit_facility,million,"no_of_rcpump, c_pump_per_unit_fac",220A.221,16,0
30,220A.222_fac,11400000,220A_fac,unit_weights,million,"c_zero, c_220A.222_ss_weight",220A.222,5,0
31,220A.223_fac,149800000,220A_fac,NO_ALG,million,N/A,220A.223,N/A,0
32,220A.224_fac,8300000,220A_fac,unit_weights_plate,million,"c_220A.224_cs_weight_plate, c_220A.224_ss_weight",220A.224,18,0
33,220A.225_fac,1850000,220A_fac,unit_weights,million,"c_zero, c_220A.225_ss_weight",220A.225,5,0
34,220A.2311_fac,1940000,220A_fac,complex,million,c_220A.2311_fac,220A.2311,23,0
