ind,var_name,var_description,var_value,var_unit,var_alg,var_need,v_linked
1,c_turbine,Turbine equipment cost,362.62,million,NULL,NULL,NULL
2,n_231,Scaling exponent law,1.035,1,tur_exp_n,p_in,NULL
3,p_in,Inlet turbine pressure,67,bar,NULL,NULL,n_231
4,scale_tur_231_fac,factory scale of cost from turbine,1.017,1,NULL,NULL,NULL
5,c_231_fac,Turbine factory cost,356.031,million,NULL,NULL,NULL
6,prn_fac_231_lab,labor portion of cost from factory of 231,0.061,1,NULL,NULL,NULL
7,prn_fac_231_mat,material portion of cost from factory of 231,0.0112,1,NULL,NULL,NULL
8,c_262_fac,Heat Rejection System factory cost,86.81393498,million,NULL,NULL,NULL
9,c_262_lab,Heat Rejection System labor cost,35.89660737,million,NULL,NULL,NULL
10,c_262_mat,Heat Rejection System material cost,4.510480683,million,NULL,NULL,NULL
11,mwth,user_input mwth,NULL,MW,NULL,NULL,NULL
12,scale_0.8,thermal scale 0.8,0.8,1,NULL,NULL,NULL
13,c_233_fac,Condensing Systems factory cost,56.339442,million,NULL,NULL,NULL
14,c_233_lab,Condensing Systems labor cost,22.964285,million,NULL,NULL,NULL
15,c_233_mat,Condensing Systems material cost,3.2777465,million,NULL,NULL,NULL
16,escalate_1987,escalator 1987 to 2017,2.849407,1,NULL,NULL,NULL
17,ref_252_fac,"Air, water and steam service systems factory cost ",8.72798,million,NULL,NULL,NULL
18,ref_252_lab,"Air, water and steam service systems labor cost ",15.572281,million,NULL,NULL,NULL
19,ref_252_mat,"Air, water and steam service systems material cost ",4.425393,million,NULL,NULL,NULL
20,c_221.12_cs_weight,weight of the carbon steel parts of the vessel,536,ton,NULL,NULL,c_221.12_tol_weight
21,c_221.12_ss_weight,weight of the stainless steel cladding of the vessel,18.3,ton,NULL,NULL,c_221.12_tol_weight
22,c_221.12_tol_weight,weight of the reactor primary vessel,554.3,ton,rpv_mass,"c_221.12_cs_weight,  c_221.12_ss_weight",
23,c_rpv_lab,per-unit mass cost of labor of RPV,0.0128,million/ton,NULL,NULL,NULL
24,c_rpv_mat,per-unit mass cost of material of RPV,0.00128,million/ton,NULL,NULL,NULL
25,ref_211_fac,yardwork factory cost,0.284275,million,NULL,NULL,NULL
26,ref_211_lab,yardwork labor cost,14.504359,million,NULL,NULL,NULL
27,ref_211_mat,yardwork material cost,10.203885,million,NULL,NULL,NULL
28,ref_222.13_fac,steam generator equipment factory cost,0.026371,million,NULL,NULL,NULL
29,no_of_sg,total number of SG,4,1,NULL,NULL,NULL
30,c_SG_per_unit_lab,unit site labor cost of SG,0.5265705,million,NULL,NULL,NULL
31,c_SG_per_unit_mat,unit site material cost of SG,0.05265705,million,NULL,NULL,NULL
32,c_234_fac,feedwater heating system factory cost,44.87430168,million,NULL,NULL,NULL
33,c_234_lab,feedwater heating system labor cost,20.31736062,million,NULL,NULL,NULL
34,c_234_mat,feedwater heating system material cost,2.022431917,million,NULL,NULL,NULL
35,c_213_fac,Turbine building structure factory cost,1.7706643,million,NULL,NULL,NULL
36,c_213_lab,Turbine building structure labor cost,31.835162,million,NULL,NULL,NULL
37,c_213_mat,Turbine building structure material cost,32.364585,million,NULL,NULL,NULL
38,c_231_lab,Turbine labor cost,21.74613521,million,NULL,NULL,NULL
39,c_231_mat,Turbine material cost,3.998108627,million,NULL,NULL,NULL
40,prn_235_of_231_fac,factory portion of cost from factory of 231,0.089454842,1,NULL,NULL,NULL
41,prn_235_of_231_lab,labor portion of cost from labor of 231,1.302615598,1,NULL,NULL,NULL
42,prn_235_of_231_mat,material portion of cost from labor of 231,0.858473379,1,NULL,NULL,NULL
43,mwe,user_input MWE,NULL,MW,NULL,NULL,NULL
44,scale_0.4,electric scale 0.4,0.4,1,NULL,NULL,NULL
45,c_241_fac,Switchgear factory cost,32.06748045,million,NULL,NULL,NULL
46,c_241_lab,Switchgear labor cost,1.720620353,million,NULL,NULL,NULL
47,c_241_mat,Switchgear material cost,0.251722551,million,NULL,NULL,NULL
48,c_242_fac,Station service equipment factory cost,52.15781338,million,NULL,NULL,NULL
49,c_242_lab,Station service equipment labor cost,4.446166005,million,NULL,NULL,NULL
50,c_242_mat,Station service equipment material cost,0.849719287,million,NULL,NULL,NULL
51,c_245_fac,Electric structure and wiring contnr.  factory cost,0,million,NULL,NULL,NULL
52,c_245_lab,Electric structure and wiring contnr. labor cost,51.23668914,million,NULL,NULL,NULL
53,c_245_mat,Electric structure and wiring contnr. material cost,12.30988227,million,NULL,NULL,NULL
54,c_246_fac,Power and control wiring factory cost,4.510910469,million,NULL,NULL,NULL
55,c_246_lab,Power and control wiring labor cost,33.4345167,million,NULL,NULL,NULL
56,c_246_mat,Power and control wiring material cost,20.75545101,million,NULL,NULL,NULL
57,ref_227_fac,Reactor instrumentation and control factory cost,13.174092,million,NULL,NULL,NULL
58,ref_227_lab,Reactor instrumentation and control labor cost,7.707179,million,NULL,NULL,NULL
59,ref_227_mat,Reactor instrumentation and control material cost,0.673999,million,NULL,NULL,NULL
60,ref_224_fac,Radwaste processing factory cost,16.16052583,million,NULL,NULL,NULL
61,ref_224_lab,Radwaste processing labor cost,4.012887083,million,NULL,NULL,NULL
62,ref_224_mat,Radwaste processing material cost,0.768994167,million,NULL,NULL,NULL
63,scale_1.0,thermal scale 1.0,1,1,NULL,NULL,NULL
64,c_226.7_fac,Aux Cool Sys factory cost,28.1793245,million,NULL,NULL,NULL
65,c_226.7_lab,Aux Cool Sys labor cost,24.62559158,million,NULL,NULL,NULL
66,c_226.7_mat,Aux Cool Sys material cost,2.393292923,million,NULL,NULL,NULL
67,no_of_rcpump,total number of reactor coolant pumps,4,1,NULL,NULL,NULL
68,c_pump_per_unit_fac,Reactor coolant pumps Factory Equipment Cost,31.31,million,pump,"c_pump_ap1000,CH_12be,CH_AP1000,scale_0.52",NULL
69,c_pump_ap1000,AP1000 factory cost of main coolant pumps,31.25,million,NULL,NULL,c_pump_per_unit_fac
70,CH_12be,CH factor of PWR-12 BE,28853000,gpm*feet,NULL,NULL,c_pump_per_unit_fac
71,CH_AP1000,CH factor of AP1000,28743750,gpm*feet,NULL,NULL,c_pump_per_unit_fac
72,scale_0.52,"SH scale 0,52",0.52,1,NULL,NULL,c_pump_per_unit_fac
73,c_226.4_fac,Coolant Treatment & Recycle factory cost,19.44327059,million,NULL,NULL,NULL
74,c_226.4_lab,Coolant Treatment & Recycle labor cost,18.62163221,million,NULL,NULL,NULL
75,c_226.4_mat,Coolant Treatment & Recycle material cost,2.70578264,million,NULL,NULL,NULL
76,c_222.11_fac,Fluid Circulation Drive System (Field Cost 222) factory cost,3.780837782,million,NULL,NULL,NULL
77,c_222.11_lab,Fluid Circulation Drive System (Field Cost 222) labor cost,4.374124686,million,NULL,NULL,NULL
78,c_222.11_mat,Fluid Circulation Drive System (Field Cost 222) material cost,0.437412469,million,NULL,NULL,NULL
79,c_222.12_fac,Reactor Coolant Piping System (Field Cost 222) factory cost,4.394349539,million,NULL,NULL,NULL
