ind,alg_name,alg_for,alg_description,alg_python,alg_formulation,alg_units
1,acc211,c,"Site_improvements,_facilities,_land_(M$)",FusionFunc,"acc211= csi*cmlsa[lsa-1] + cland",million
2,acc212,c,Reactor_building_cost_(M$),FusionFunc,"acc212= (1.0e-6*ucrb*rbvol)**exprb* cmlsa[lsa - 1]",million
3,acc213,c,Turbine_building_cost_(M$),FusionFunc," if ireactor == 1:
        acc213 = cturbb * cmlsa[lsa - 1]
    else: acc213 = 0.0e0",million
4,acc2141,c,Reactor_maintenance_building_cost_(M$),FusionFunc,"acc2142 = 1.0e-6*ucmb*rmbvol**exprb*cmlsa[lsa - 1]",million
5,acc2142,c,Warm_shop_cost_(M$),FusionFunc,"acc2142 = (1.0e-6*ucws*wsvol)**exprb*cmlsa[lsa - 1]",million
6,acc215,c,Tritium_building_cost_(M$),FusionFunc,"acc215 = ((1.0e-6*uctr*triv)*exprb)*cmlsa[lsa - 1]",million
7,acc216,c,Electrical_equipment_building_cost_(M$),FusionFunc,"acc216 = 1.0e-6*ucel*elevol**exprb*cmlsa[lsa - 1]",million
8,acc2171,c,Additional_buildings_cost_(M$),FusionFunc,"acc2171 = 1.0e-6*ucad*admvol**exprb* cmlsa[lsa - 1]",million
9,acc2172,c,Control_room_buildings_cost_(M$),FusionFunc,"acc2172 = 1.0e-6*ucconc*convol**exprb* cmlsa[lsa - 1]",million
10,acc2173,c,Shop_and_warehouses_cost_(M$),FusionFunc,"acc2173 = 1.0e-6*ucsh*shovol**exprb*cmlsa[lsa - 1]",million
11,acc2174,c,Cryogenic_building_cost_(M$),FusionFunc,"acc2174 = 1.0e-6*uccr*cryvol**exprb*cmlsa[lsa - 1]",million
12,acc2211,c,First_wall_cost_(M$),FusionFunc,"if ife == 1:
        acc2211 = (1.0e-6*cmlsa[lsa - 1]
            *  (ucblss*(fwmatm(1, 1)+ fwmatm(2, 1)+ fwmatm(3, 1))
            + uccarb*(fwmatm(1, 2)+ fwmatm(2, 2)+ fwmatm(3, 2))
            + ucblli2o*(fwmatm(1, 4) + fwmatm(2, 4)+ fwmatm(3, 4))
            + ucconc*(fwmatm(1, 5)+ fwmatm(2, 5)+ fwmatm(3, 5))))
    else:
        acc2211 = (1.0e-6* cmlsa[lsa - 1]*((ucfwa + ucfws)* fwarea+ ucfwps)) 
    acc2211 = fkind * acc2211
    if ifueltyp == 1:
        acc2211 = 0
        acc2211 = fwallcst
    elif ifueltyp == 2:
        fwallcst = acc2211
    else:
        fwallcst = 0.0e0",million
13,acc22121,c,Blanket_beryllium_cost_(M$),FusionFunc,"if ife == 1:
        acc22121 = 0
    else:
        if iblanket == 4:
            acc22121 = 1.0e-6*wtbllipb*ucbllipb
        else:
            acc22121 = 1.0e-6*whtblbe*ucblbe
    acc22121 = fkind*acc22121*cmlsa[lsa-1]",million
