ind,variable,var_ind,ce_ind,ce
1,land_surface_area,1,1,211_lab
2,containment_subVolume,2,2,212_mat
3,Containment_hole_volume,3,3,212_lab
4,Turbine_building_surface_area,4,4,213_mat
5,Distance_to_utilities,5,5,213_lab
6,Number_of_shipping_containers,6,5,213_lab
7,Battery_capacity_required,7,6,218T_fac
8,primary_outer_vessel_SS_mass,8,7,221.12_mat
9,primary_outer_vessel_SS_mass,8,8,221.12_lab
10,primary_inner_vessel_SS_mass,9,9,221.13_mat
11,B4C_total_neutron_poison_mass_Kg,10,10,221.21_mat
12,Number_of_control_rod_drums,11,10,221.21_mat
13,number_of_emergency_control_rods,12,10,221.21_mat
14,stainless_steel_316_reflector_mass,13,11,221.22_mat
15,Al2O3_reflector_mass,14,11,221.22_mat
16,BeO_reflector_mass,15,11,221.22_mat
17,shield_B4C_mass,16,12,221.23_mat
18,moderator_ZrH_mass,17,13,221.24_mat
19,mass_production_cost_reduction_factor,18,14,222.12_mat
20,number_of_core_cooling_heat_pipes,19,14,222.12_mat
21,number_of_heat_exchangers,20,15,222.13_mat
22,number_of_heat_exchangers,20,16,222.13_lab
23,number_of_heat_exchangers,20,17,222.13_fac
24,heat_exchangers_mass,21,17,222.13_fac
25,number_of_IO_sensors,22,18,227_fac
26,mwth,23,19,231_fac
27,mwe,24,19,231_fac
